p_id,torwatch,torwarn,rec_all,rec_most,rec_soon,rec_sleep,rec_driving,rec_work,rec_store,rec_small_group,rec_large_group,rec_morn,rec_aft,rec_eve,alert_und,tor_watchwarn_und,tor_map_und,tor_radar_und,svr_watchwarn_und,und_morn,und_aft,und_eve,warn_time,warn_time_minutes,watch_time,watch_time_hours,warn_size,watch_size,resp_prot,resp_sleep,resp_driving,resp_work,resp_store,resp_small_group,resp_large_group,resp_morn,resp_aft,resp_eve,gend,age,hisp,race,nws_region,WARNING_AVG,weightfactor
EPO789PXYDFCJRX4M7,3,NA,4,4,4,5,5,3,1,5,2,3,4,NA,2,3,4,5,3,1,4,2,3,NA,4,NA,1,4,3,5,5,5,5,2,4,5,5,5,0,35,0,2,Southern Region,17.166666666666668,0.982308
EPO78B2GFMS9MQW4M3,NA,2,5,5,5,2,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,2,NA,2,12,2,2,5,2,5,5,5,5,5,5,5,5,1,35,0,1,Southern Region,31,0.594824
EPO78B77GTR4YPQ4M8,2,NA,3,3,4,1,3,3,3,2,2,3,2,5,4,2,3,2,3,3,3,4,3,NA,2,3,3,2,2,2,1,3,4,4,4,3,3,3,0,23,0,1,Eastern Region,8,0.419227
EPO78BNPG66925Z4M3,1,NA,5,4,4,5,5,4,5,5,NA,2,3,4,3,3,4,4,3,3,4,4,2,NA,1,NA,1,1,4,5,4,5,3,4,5,4,5,3,1,35,1,1,Eastern Region,17.333333333333332,1.539955
EPO78BRVSLZBL5H4M8,NA,2,4,5,4,1,1,1,1,5,5,3,3,3,3,2,2,2,2,3,3,3,1,60,2,5,5,5,3,1,1,1,1,5,5,3,3,3,0,29,1,7,Eastern Region,1.8333333333333333,0.490189
EPO78BRVTM8MTJW4M0,1,NA,3,5,4,4,5,5,4,4,5,4,5,5,5,5,4,4,5,5,5,5,2,NA,2,2,2,5,5,5,4,5,4,5,5,5,4,5,1,40,0,1,Southern Region,17.166666666666668,1.315534
EPO78BS2RJC6L4J4M6,NA,2,5,5,5,2,5,5,5,5,5,5,5,5,4,2,5,5,2,5,5,5,1,60,2,8,2,2,2,3,5,5,5,5,5,3,3,3,1,63,0,2,Eastern Region,1.8333333333333333,0.655252
EPO78BWBQM467YT4M2,1,NA,3,3,3,3,3,3,3,3,3,3,3,3,5,1,1,1,1,3,3,3,1,60,2,24,1,1,3,3,3,3,3,3,3,3,3,3,1,45,1,7,Western Region,0.3333333333333333,1.924619
EPO78BWG7T3V4N24M0,1,NA,3,3,3,2,4,4,4,4,5,2,4,4,4,3,2,2,3,3,3,3,4,NA,4,NA,3,3,3,2,4,3,4,4,5,3,3,3,0,23,0,1,Western Region,0.3333333333333333,0.700394
EPO78BWHBFNJFPV4M6,NA,2,2,2,2,2,NA,2,2,2,2,2,2,2,3,2,NA,2,2,2,2,2,2,NA,NA,NA,1,3,3,2,2,3,3,3,3,2,2,2,1,43,1,1,Western Region,0.3333333333333333,1.860546
EPO78BWLCZZ7MK94M2,NA,2,4,4,5,3,5,5,5,5,5,4,4,4,5,3,3,3,3,4,4,4,1,1,1,NA,2,2,4,3,3,3,3,3,2,4,4,4,0,63,0,2,Central Region,15.833333333333334,0.272547
EPO78BWLXZF8R284M5,1,NA,2,2,2,1,3,NA,1,2,2,4,4,3,2,3,5,4,5,5,5,5,1,15,1,NA,2,2,3,1,3,3,2,2,2,4,4,4,1,62,1,1,Eastern Region,1.8333333333333333,0.591531
EPO78BWNJ2ZTS894M6,1,NA,3,3,3,2,2,2,2,2,2,3,3,3,3,1,1,1,1,3,3,3,1,30,1,NA,1,1,2,3,3,3,3,3,3,4,3,3,1,29,1,6,Western Region,0.3333333333333333,0.316043
EPO78BY8P4KHCNN4M9,NA,1,NA,4,4,3,4,4,4,4,4,4,4,3,5,2,4,3,3,3,4,3,1,30,1,NA,3,3,4,4,4,4,4,4,4,3,4,3,1,52,1,1,Central Region,15.833333333333334,1.764109
EPO78C356TNBLLV4M8,NA,2,4,2,5,1,4,4,4,4,4,3,4,4,4,3,1,1,2,4,4,4,4,NA,4,NA,4,4,2,1,3,3,3,3,3,4,4,4,1,67,0,2,NA,17.333333333333332,1.114382
EPO78C37H8FZ6Y94M6,2,NA,3,2,4,2,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,NA,3,NA,1,1,3,4,5,5,5,5,5,4,4,4,0,52,0,1,Western Region,0.3333333333333333,0.872126
EPO78C495L9PDMV4M1,NA,2,5,3,5,5,5,5,5,5,5,5,5,5,5,2,4,3,5,5,5,5,1,40,2,12,1,2,4,5,5,5,5,5,4,5,5,5,0,20,0,1,Western Region,0.3333333333333333,0.700394
EPO78C4CJZTBR5N4M9,1,NA,4,5,4,3,4,4,NA,4,4,4,4,4,5,3,3,3,3,4,4,4,1,15,1,NA,1,1,4,2,3,4,3,3,4,4,4,4,0,54,1,1,Central Region,6.166666666666667,0.806656
EPO78C4G6J56WCZ4M7,NA,2,3,4,4,3,4,5,4,4,4,4,4,3,4,2,3,2,2,3,3,3,1,10,2,2,2,3,4,3,3,3,3,4,4,3,3,2,0,70,0,2,Central Region,15.833333333333334,0.29133
EPO78C4L9VNMCY34M2,1,NA,5,4,5,5,5,4,4,3,3,4,3,4,5,4,4,4,4,4,4,4,1,15,1,NA,3,3,5,1,1,5,2,4,2,5,3,4,0,50,0,6,Southern Region,45.333333333333336,0.337859
EPO78C4R63Z9ZW74M9,NA,2,1,2,2,2,2,1,3,3,3,NA,NA,NA,4,3,3,3,4,NA,NA,NA,2,NA,3,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,38,0,2,Central Region,15.833333333333334,1.278922
EPO78C5PY2N9HPY4M9,1,NA,4,4,4,4,4,4,4,4,4,4,3,4,5,4,4,3,4,4,4,4,1,15,2,6,2,3,2,3,4,4,3,4,4,3,3,4,1,58,0,2,Southern Region,43.833333333333336,0.756877
EPO78C5YXPXWN6W4M8,NA,2,1,1,3,1,1,1,3,2,2,4,5,4,4,2,1,1,2,3,3,3,3,NA,2,8,3,2,3,1,1,1,3,3,2,3,3,3,0,28,0,2,Eastern Region,4,1.069577
EPO78C5ZKJQVSZ64M0,NA,1,4,4,4,4,4,4,4,4,4,3,4,4,2,3,4,3,3,4,4,4,2,NA,2,8,1,2,4,4,4,4,4,4,4,4,4,4,0,29,1,1,Southern Region,26.166666666666668,1.340258
EPO78C63Z5F7MYC4M0,NA,2,3,3,3,3,4,4,3,4,4,3,4,4,4,2,1,1,2,3,3,3,2,NA,3,NA,5,5,3,2,3,3,3,3,3,3,3,3,0,51,0,2,Eastern Region,1.8333333333333333,1.118096
EPO78CCD3M23MJZ4M6,1,NA,4,4,4,3,4,5,4,5,5,3,3,4,5,3,5,3,5,4,4,4,2,NA,1,NA,3,3,4,NA,5,5,5,5,5,3,4,3,0,65,0,2,Central Region,6.166666666666667,0.24563
EPO78CDZG9WC96V4M4,1,NA,3,NA,4,3,2,5,4,3,NA,5,5,5,5,4,4,4,5,5,5,5,1,10,2,2,3,3,4,3,5,4,1,4,2,4,5,5,1,38,1,1,Central Region,49.666666666666664,0.940617
