survey_year,age,survey_hazard,"Broadcast
radio","Weather
radio",Television,"Internet
websites","Social
media","Friends,
family","Phone
notifications",Sirens,weightfactor
2017,76,WX,4,5,4,2,1,2,3,1,0.878311
2017,49,WX,3,3,3,3,2,1,3,3,1.698404
2017,30,WX,3,2,2,3,2,2,1,2,0.066779
2017,41,WX,1,1,2,4,1,1,5,1,0.113574
2017,71,WX,1,1,5,1,1,2,1,1,0.706575
2017,50,WX,4,5,4,1,1,4,4,5,0.981726
2017,38,WX,3,4,3,3,3,3,3,3,0.617357
2017,66,WX,4,5,5,4,1,2,5,5,0.976731
2017,39,WX,4,4,4,3,2,2,3,3,0.888941
2017,75,WX,3,4,3,3,2,2,3,3,0.878311
2017,58,WX,4,1,4,4,3,5,5,5,0.675407
2017,60,WX,5,5,5,5,3,3,5,5,0.577138
2017,51,WX,5,4,1,2,1,3,3,4,1.48431
2017,63,WX,4,4,3,3,2,2,4,3,0.82161
2017,44,WX,4,4,4,4,3,1,5,5,1.11798
2017,28,WX,2,2,1,2,1,3,1,2,0.808299
2017,49,WX,2,2,2,2,2,2,2,2,1.358379
2017,59,WX,4,3,3,4,1,3,4,5,0.51039
2017,69,WX,5,5,5,4,3,4,5,5,0.943265
2017,59,WX,3,3,3,3,3,2,2,2,0.675407
2017,57,WX,4,4,5,4,4,2,5,1,0.800524
2017,53,WX,5,5,5,3,1,2,5,5,0.959923
2017,75,WX,4,4,4,4,1,1,4,5,3.351525
2017,67,WX,1,4,4,2,1,2,3,3,0.413876
2017,60,WX,3,4,5,4,3,3,4,5,0.862555
2017,58,WX,4,1,4,4,5,5,1,1,0.675407
2017,56,WX,1,1,5,2,1,3,1,1,0.684897
2017,25,WX,3,5,3,4,1,3,5,2,0.965867
2017,29,WX,3,3,5,3,3,3,4,3,1.11163
2017,55,WX,5,5,5,3,3,3,5,4,0.648171
2017,28,WX,4,3,4,3,1,2,4,5,0.965867
2017,67,WX,3,1,3,1,1,1,2,4,0.65467
2017,71,WX,3,3,3,2,2,3,3,2,0.491409
2017,70,WX,4,4,4,4,3,4,4,4,0.415552
2017,61,WX,1,1,1,3,1,1,1,1,0.683384
2017,36,WX,4,4,4,4,4,4,4,3,1.547003
2017,79,WX,1,1,4,1,1,2,1,2,0.878311
2017,73,WX,2,1,3,2,1,1,1,1,1.674881
2017,36,WX,3,3,3,3,2,2,3,3,0.888941
2017,61,WX,3,2,4,3,2,2,3,4,0.683384
2017,61,WX,4,1,4,1,1,2,3,1,2.481914
2017,64,WX,3,2,3,5,1,2,2,4,0.264213
2017,36,WX,5,5,5,4,2,4,5,5,1.264192
2017,64,WX,3,3,4,3,3,2,5,1,0.82161
2017,58,WX,2,2,4,4,2,3,3,3,0.684897
2017,39,WX,3,2,4,1,1,3,5,4,0.617357
2017,49,WX,4,3,3,3,2,3,3,3,0.789356
2017,31,WX,3,3,3,3,2,3,3,3,1.63568
2017,70,WX,5,1,3,2,1,1,1,1,0.415552
2017,65,WX,2,1,5,1,1,2,4,5,0.458091
2017,40,WX,3,3,4,2,2,3,4,5,0.710373
2017,30,WX,3,4,3,3,3,3,3,3,1.04396
2017,31,WX,5,5,5,4,5,4,5,5,1.101032
2017,52,WX,4,4,4,4,4,4,4,4,0.51629
2017,70,WX,4,4,4,3,1,1,5,5,0.665111
2017,57,WX,4,4,3,2,2,2,3,3,0.140614
2017,49,WX,1,1,4,4,1,5,4,4,1.611453
2017,81,WX,5,5,5,5,3,4,5,5,0.590335
2017,23,WX,1,3,4,3,2,3,4,5,0.520327
2017,31,WX,3,3,3,3,3,3,3,3,1.048377
2017,71,WX,4,2,5,4,4,1,3,1,1.294332
2017,66,WX,3,4,3,3,2,3,4,4,0.885167
2017,75,WX,4,4,3,4,1,3,4,5,1.529702
2017,75,WX,1,1,3,4,1,1,1,1,0.878311
2017,61,WX,5,5,5,1,1,1,5,5,0.699624
2017,48,WX,2,2,3,3,2,2,3,1,0.089064
2017,55,WX,4,4,4,4,4,4,4,3,0.70539
2017,77,WX,4,4,5,3,3,3,4,3,1.072285
2017,63,WX,4,5,5,4,3,4,4,5,0.912746
2017,40,WX,3,2,5,4,2,2,4,2,1.140966
2017,66,WX,3,4,4,3,3,3,4,4,0.499176
2017,47,WX,3,5,5,4,5,5,5,5,2.32482
2017,64,WX,4,1,4,1,1,1,1,1,0.264213
2017,35,WX,4,3,4,3,3,3,3,3,0.87455
2017,65,WX,4,5,5,5,1,3,5,5,0.976731
2017,64,WX,4,4,4,3,4,4,4,4,0.912746
2017,57,WX,3,4,5,4,5,4,5,3,0.70539
2017,66,WX,4,4,4,1,1,1,5,1,0.079253
2017,41,WX,2,1,3,1,1,1,2,2,0.774187
2017,50,WX,4,3,4,3,1,4,5,5,1.860611
2017,53,WX,4,4,4,3,1,2,1,1,1.014784
2017,55,WX,4,4,4,5,3,3,4,5,0.675407
2017,75,WX,4,5,5,4,1,3,1,1,1.072285
2017,54,WX,2,2,5,4,1,2,5,5,1.046124
2017,56,WX,2,4,3,2,1,2,3,2,0.70539
2017,53,WX,1,1,4,1,1,2,1,1,0.432212
2017,51,WX,5,5,4,5,1,2,5,2,0.323456
2017,52,WX,2,1,5,2,1,2,5,5,1.046124
2017,80,WX,3,3,4,2,1,1,2,3,1.076762
2017,52,WX,4,5,5,5,4,5,5,5,0.510234
2017,60,WX,2,3,2,2,2,3,2,4,0.683384
2017,48,WX,5,4,3,4,1,2,1,2,1.698404
2017,68,WX,5,5,5,5,2,2,4,5,0.392336
2017,31,WX,2,1,4,3,3,4,4,1,0.700963
2017,32,WX,3,2,3,4,1,2,2,3,0.282287
2017,38,WX,3,3,4,3,2,1,4,1,1.558382
2017,70,WX,1,1,1,1,1,1,1,1,0.491409
2017,71,WX,5,5,3,1,1,1,3,2,1.294332
2017,49,WX,4,4,4,4,3,4,4,5,0.789356
2017,80,WX,4,5,5,5,2,3,5,5,5.531576
2017,54,WX,2,1,4,3,2,3,2,1,2.018998
2017,34,WX,3,3,3,4,4,3,3,3,0.62752
2017,62,WX,1,1,5,5,3,3,1,1,0.891744
