p_id,long,lat,end_datetime,age,gender,education,race,income,storm_system,storm_rec_warn,rec_subscribe,wthr_info_web,wthr_info_govweb,wthr_info_loctv,wthr_info_cabtv,wthr_info_radio,wthr_info_fam,wthr_info_soc,wthr_info_phone
Ph-W301354,-98.241048,34.817641,1465562629,67,0,4,1,2.00E+05,1,1,Strongly agree,About once a day,Less than once per week,About once a day,Never,Never,Several times per week,About once per week,About once per week
Ph-W301373,-96.385771,33.987302,1467326603,53,1,2,1,5.00E+04,2,1,Agree,Several times per week,Never,Several times a day,Several times per week,Never,Several times per week,Several times per week,Less than once per week
Ph-W301436,-99.399778,35.398841,1467078069,49,0,6,1,3.60E+04,1,NA,Strongly agree,About once per week,Less than once per week,About once a day,Less than once per week,Less than once per week,Less than once per week,About once per week,About once per week
Ph-W301462,-97.243272,34.163428,1465437217,67,0,4,1,7.50E+04,2,1,Agree,NA,NA,About once a day,NA,NA,NA,NA,About once per week
Ph-W301471,-98.68378,35.529214,1465935050,50,0,5,6,1.00E+05,1,NA,Disagree,Less than once per week,Never,About once a day,About once per week,Several times per week,Several times per week,Several times per week,Less than once per week
Ph-W301511,-96.694129,35.244611,1466714757,67,0,4,1,2.00E+04,1,NA,Strongly disagree,About once a day,Never,Several times a day,Never,Never,Never,Never,Never
Ph-W301545,-96.679741,34.769183,1465425247,67,1,8,1,1.00E+05,1,2,Agree,About once a day,Several times a day,Several times per week,Several times per week,Several times a day,About once per week,About once per week,Several times a day
Ph-W301611,-96.40488,35.08867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ph-W301668,-98.69824,35.53424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ph-W301779,-95.460851,36.373655,1466368864,67,1,6,1,1.50E+05,1,NA,Agree,Never,Several times a day,About once a day,Never,Several times per week,Never,Never,Less than once per week
Ph-W301897,-96.402098,36.064274,1467073892,68,0,4,1,1.90E+04,1,1,Strongly disagree,NA,Never,Several times per week,Several times per week,NA,Never,Never,Never
Ph-W301973,-96.387911,34.045328,1466553972,80,1,4,NA,3.00E+04,2,NA,Strongly disagree,NA,Never,Less than once per week,Never,Several times a day,Several times per week,Never,Never
Ph-W301999,-94.922515,36.22805,1468021937,73,0,6,1,2.00E+05,1,0,Disagree,Never,Never,About once a day,About once per week,Never,Less than once per week,Never,Less than once per week
Ph-W302050,-98.349681,34.631923,1467917517,61,1,7,1,1.07E+05,1,NA,Strongly agree,Several times per week,Several times per week,About once a day,Several times per week,About once a day,Less than once per week,Never,Several times a day
Ph-W302098,-96.00033,35.8597,1467932444,65,1,6,1,1.00E+05,1,NA,Somewhat agree,Never,Never,Several times per week,Less than once per week,About once a day,Less than once per week,About once per week,Less than once per week
Ph-W302186,-95.822536,36.124083,1465528205,65,1,4,1,3.90E+04,1,NA,Strongly disagree,Never,Never,About once a day,NA,Several times a day,NA,Never,Never
Ph-W302264,-97.966848,34.645834,1465398641,53,0,2,1,4.50E+04,1,1,Strongly agree,About once per week,About once per week,Several times per week,Less than once per week,Less than once per week,Never,Less than once per week,Several times per week
Ph-W302284,-95.65766,36.418301,1465396983,42,0,5,1,8.00E+04,1,NA,Strongly agree,Several times a day,Never,About once a day,About once a day,About once a day,About once a day,Several times a day,About once a day
Ph-W302294,-95.928105,36.1503,1466709102,45,0,6,3,4.30E+04,1,NA,Strongly disagree,Less than once per week,Less than once per week,About once a day,About once a day,About once a day,About once a day,About once a day,Never
Ph-W302354,-99.403895,34.667162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ph-W302362,-97.956318,34.651811,1467150703,62,1,2,1,NA,1,1,Agree,Never,Never,Several times a day,About once a day,Never,Several times per week,Never,Never
Ph-W302383,-95.923275,36.022227,1467654813,63,0,6,1,8.00E+05,1,NA,Strongly agree,Several times per week,Never,About once a day,Never,Several times a day,Less than once per week,Less than once per week,Less than once per week
Ph-W302387,-95.224436,36.122738,1467073149,68,1,7,1,NA,1,1,Agree,NA,Several times per week,Several times a day,Never,Several times per week,Several times per week,Several times a day,Several times a day
Ph-W302391,-95.393679,35.150611,1467749692,67,0,5,1,3.00E+04,1,NA,Agree,About once per week,Never,Several times a day,About once per week,About once per week,About once a day,About once a day,About once a day
Ph-W302403,-96.50195,35.14753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ph-W302439,-97.942332,34.557103,1466125529,76,0,3,1,4.00E+04,1,NA,Disagree,Never,Never,Several times a day,Several times a day,Never,Never,Never,Never
Ph-W302451,-98.417212,34.627853,1467359306,66,0,6,1,1.00E+04,1,NA,Strongly disagree,Several times a day,Never,Several times per week,Several times per week,Less than once per week,About once per week,Less than once per week,Never
Ph-W302489,-95.768974,34.905191,1467333887,69,1,2,1,8.00E+04,1,2,Agree,Never,Never,About once a day,About once a day,Several times a day,About once per week,Never,Never
Ph-W302515,-98.376858,35.37319,1465763197,42,0,6,1,9.00E+04,1,NA,Agree,Never,Never,About once a day,Never,Never,Never,Less than once per week,About once per week
Ph-W302546,-99.010394,34.407353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ph-W302632,-97.13281,34.18783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ph-W302653,-98.447772,34.589114,1465406060,57,0,2,1,8.50E+04,1,1,Agree,Never,Never,About once a day,About once a day,Never,Never,Never,Several times a day
Ph-W302658,-99.32337,34.64961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ph-W302697,-95.973461,36.134184,1465777032,52,1,7,1,1.35E+05,1,NA,Disagree,Several times per week,Less than once per week,Several times per week,Less than once per week,About once a day,Several times per week,Never,Several times a day
Ph-W302699,-95.775968,36.096722,1465398906,64,0,6,1,1.10E+05,1,NA,Agree,Never,About once per week,About once a day,About once a day,Never,About once a day,Never,Several times per week
Ph-W302727,-96.555078,34.949112,1468537825,36,0,7,1,3.60E+04,1,0,Agree,About once per week,Several times per week,Never,Never,Less than once per week,Several times per week,About once a day,Less than once per week
