CWA,MALE,AGE_GROUP,HISP,RACE_GROUP,DEMGRP_POP,TOT_POP,DEMGRP_PROP,CWA_REGION,COLD,FIRE,FLOOD,HEAT,HURR,SNOW,TORN,DROUGHT
TFX,1,1,0,3,6006,298564,0.020116289974678795,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,1,1,1,1,1971,298564,0.006601599657024959,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,1,1,1,2,48,298564,1.607695502471832e-4,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,1,1,1,3,492,298564,0.0016478878900336275,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,1,2,0,1,49754,298564,0.16664433756246566,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,1,2,0,2,330,298564,0.0011052906579493843,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,1,2,0,3,4562,298564,0.015279806004742701,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,1,2,1,1,1202,298564,0.004025937487439879,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,1,2,1,2,26,298564,8.70835063838909e-5,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,1,2,1,3,207,298564,6.933186854409775e-4,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,1,3,0,1,38753,298564,0.12979796626518939,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,1,3,0,2,102,298564,3.416352942752643e-4,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,1,3,0,3,1994,298564,0.0066786350665184015,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,1,3,1,1,395,298564,0.0013229994239091116,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,1,3,1,2,9,298564,3.0144290671346847e-5,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TFX,1,3,1,3,54,298564,1.8086574402808109e-4,WR,0.00787023882000459,-0.014006866881267703,-1.0908888036010007,-0.6273573315505928,-0.5130928251706659,1.8066800250318906,-0.9415489016284565,1.3332373148573469
TOP,0,1,0,1,74384,525609,0.14151964673359854,CR,-0.3532862759202038,-0.5867629086598394,-0.13278405061531645,0.3075946862406379,-0.5130928251706659,-0.36359487312668626,0.24280419237792936,-0.10002597972941019
TOP,0,1,0,2,5604,525609,0.010661917889533854,CR,-0.3532862759202038,-0.5867629086598394,-0.13278405061531645,0.3075946862406379,-0.5130928251706659,-0.36359487312668626,0.24280419237792936,-0.10002597972941019
TOP,0,1,0,3,9026,525609,0.017172460897739574,CR,-0.3532862759202038,-0.5867629086598394,-0.13278405061531645,0.3075946862406379,-0.5130928251706659,-0.36359487312668626,0.24280419237792936,-0.10002597972941019
TOP,0,1,1,1,8155,525609,0.015515335544102175,CR,-0.3532862759202038,-0.5867629086598394,-0.13278405061531645,0.3075946862406379,-0.5130928251706659,-0.36359487312668626,0.24280419237792936,-0.10002597972941019
TOP,0,1,1,2,570,525609,0.0010844563163872765,CR,-0.3532862759202038,-0.5867629086598394,-0.13278405061531645,0.3075946862406379,-0.5130928251706659,-0.36359487312668626,0.24280419237792936,-0.10002597972941019
TOP,0,1,1,3,1185,525609,0.002254527605120917,CR,-0.3532862759202038,-0.5867629086598394,-0.13278405061531645,0.3075946862406379,-0.5130928251706659,-0.36359487312668626,0.24280419237792936,-0.10002597972941019
