survey,p_id,prob_event,prob_word,vry_low,vry_small,prty_low,small,low,slight,moderate,good,sig,risk_chan,risk_poss,risk_may,risk_exp
WX18,EPO784X2XPZBDBB4M7,tornado,probability,NA,NA,5,NA,NA,NA,NA,10,25,NA,NA,NA,NA
WX18,EPO784XQ8PXSX6V4M8,severe thunderstorm,probability,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WX18,EPO784Y75CJJQYJ4M9,tornado,chance,5,NA,NA,NA,NA,NA,15,NA,80,NA,NA,NA,NA
WX18,EPO784XZJG8Z4R64M4,severe thunderstorm,probability,20,15,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA
WX18,EPO784YHQTM538T4M3,severe thunderstorm,probability,NA,NA,NA,NA,32,NA,15,12,NA,NA,NA,NA,NA
WX18,EPO784YH9DL7C4V4M1,tornado,chance,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA
WX18,EPO784W8SLFBLYX4M4,severe thunderstorm,probability,NA,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WX18,EPO78533MKZ7CQ94M5,tornado,probability,30,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WX18,EPO7853BSJVC25F4M7,severe thunderstorm,probability,20,NA,25,NA,30,NA,NA,NA,NA,NA,NA,NA,NA
WX18,EPO7853DFXQBZ8M4M1,severe thunderstorm,chance,NA,NA,NA,NA,65,45,NA,5,NA,NA,NA,NA,NA
WX18,EPO7853CDCDYXKQ4M8,severe thunderstorm,chance,NA,NA,NA,10,NA,10,20,NA,100,NA,NA,NA,NA
WX18,EPO7853G77Q7RTG4M0,severe thunderstorm,chance,NA,NA,NA,NA,10,NA,40,NA,NA,NA,NA,NA,NA
WX18,EPO7853M4GB7P5R4M6,tornado,chance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WX18,EPO7853F6MN6YJQ4M4,tornado,probability,10,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WX18,EPO7853QNHX5VJ74M6,tornado,chance,NA,NA,NA,NA,NA,NA,50,NA,60,NA,NA,NA,NA
WX18,EPO7853GRPJ49524M5,severe thunderstorm,chance,NA,10,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA
WX18,EPO78549CLMGXBT4M3,severe thunderstorm,probability,NA,20,NA,NA,NA,NA,50,NA,70,NA,NA,NA,NA
WX18,EPO7854GCJ7N6P24M9,severe thunderstorm,probability,10,NA,NA,20,NA,30,NA,NA,NA,NA,NA,NA,NA
WX18,EPO7854FFS26XGV4M2,severe thunderstorm,probability,NA,NA,NA,30,40,NA,NA,NA,80,NA,NA,NA,NA
WX18,EPO78544FJNJYP74M8,severe thunderstorm,chance,NA,10,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
WX18,EPO78542T9X8H254M3,tornado,probability,20,NA,NA,NA,30,NA,NA,NA,90,NA,NA,NA,NA
WX18,EPO7855GC478QQ94M9,severe thunderstorm,chance,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
WX18,EPO7855CYJ2KFJN4M9,severe thunderstorm,chance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WX18,EPO78578HH9DWCK4M2,severe thunderstorm,probability,5,9,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA
WX18,EPO78576X8SFN3K4M9,tornado,probability,NA,20,NA,10,NA,NA,NA,NA,1,NA,NA,NA,NA
WX18,EPO7855DWQV69X74M0,severe thunderstorm,probability,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA
WX18,EPO7857BMP6F94F4M3,severe thunderstorm,chance,NA,NA,NA,NA,NA,25,40,NA,NA,NA,NA,NA,NA
WX18,EPO7857G2PS3FX94M5,severe thunderstorm,chance,100,NA,NA,100,NA,NA,NA,NA,100,NA,NA,NA,NA
WX18,EPO78546H7FR7HC4M8,tornado,probability,NA,NA,NA,10,NA,20,NA,NA,95,NA,NA,NA,NA
WX18,EPO78585LP39QKB4M6,tornado,chance,5,NA,NA,5,NA,10,NA,NA,NA,NA,NA,NA,NA
WX18,EPO78577JQTMDRG4M4,tornado,chance,10,NA,NA,NA,NA,20,NA,70,NA,NA,NA,NA,NA
WX18,EPO7853F395GS8L4M9,tornado,probability,30,NA,NA,NA,NA,NA,20,40,NA,NA,NA,NA,NA
WX18,EPO7857GFYFYG7X4M1,severe thunderstorm,chance,NA,NA,NA,3,NA,10,NA,NA,NA,NA,NA,NA,NA
WX18,EPO78586F2QZSH54M0,severe thunderstorm,probability,NA,NA,NA,NA,NA,NA,20,35,NA,NA,NA,NA,NA
WX18,EPO7857HVZ9LQ9G4M9,severe thunderstorm,chance,NA,NA,NA,NA,NA,NA,NA,20,20,NA,NA,NA,NA
WX18,EPO78588F2RCXMP4M2,tornado,chance,NA,NA,NA,10,20,30,NA,NA,NA,NA,NA,NA,NA
WX18,EPO785B7MPP49HW4M9,tornado,chance,NA,NA,15,NA,NA,NA,NA,NA,75,NA,NA,NA,NA
WX18,EPO785BHB4TGXGB4M0,tornado,chance,NA,NA,NA,NA,14,NA,25,NA,90,NA,NA,NA,NA
WX18,EPO785CDP7RJLNT4M3,tornado,chance,20,20,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA
WX18,EPO785CDN7J7C9F4M1,tornado,chance,5,NA,NA,NA,NA,NA,NA,10,35,NA,NA,NA,NA
WX18,EPO785DMZ5DB8SQ4M1,tornado,chance,NA,NA,10,25,NA,30,NA,NA,NA,NA,NA,NA,NA
WX18,EPO785CTQ5NFNZM4M9,severe thunderstorm,chance,10,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA
WX18,EPO785DRY55P9QH4M2,tornado,chance,5,20,NA,30,30,NA,50,NA,NA,NA,NA,NA,NA
WX18,EPO785DWVG677ZF4M9,tornado,probability,NA,NA,NA,NA,NA,NA,NA,50,90,NA,NA,NA,NA
WX18,EPO785FDCN7MTFP4M9,tornado,chance,NA,5,NA,10,NA,15,NA,50,NA,NA,NA,NA,NA
WX18,EPO785DVM53Q35B4M1,tornado,probability,NA,30,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA
WX18,EPO785FGTRRGJY94M3,severe thunderstorm,probability,20,NA,NA,35,NA,NA,NA,NA,90,NA,NA,NA,NA
WX18,EPO785FGXGRMVZ64M3,tornado,chance,NA,NA,NA,10,10,NA,NA,NA,25,NA,NA,NA,NA
WX18,EPO785HXQRG3X9R4M9,severe thunderstorm,probability,NA,NA,NA,NA,30,NA,NA,NA,100,NA,NA,NA,NA
WX18,EPO785GGRNZ6ZCZ4M9,severe thunderstorm,chance,20,20,NA,NA,NA,20,NA,NA,20,NA,NA,NA,NA
WX18,EPO785J5TMCPWTK4M4,tornado,chance,10,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
WX18,EPO785J87K96N644M8,tornado,chance,10,NA,NA,20,NA,25,40,NA,NA,NA,NA,NA,NA
WX18,EPO785J7GJLK8R34M2,severe thunderstorm,chance,NA,NA,NA,NA,NA,NA,NA,30,50,NA,NA,NA,NA
WX18,EPO785KH6Q4K6L54M3,severe thunderstorm,probability,NA,10,NA,NA,10,NA,10,NA,30,NA,NA,NA,NA
WX18,EPO785KGFVB9Z8B4M3,tornado,chance,NA,NA,NA,NA,NA,5,30,60,100,NA,NA,NA,NA
WX18,EPO785DPR3MFM8X4M8,tornado,chance,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
WX18,EPO785KQKWCYLDJ4M2,tornado,probability,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA
WX18,EPO785YZDRD8LHG4M7,severe thunderstorm,chance,20,10,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA
WX18,EPO785JC7YH6DKD4M5,severe thunderstorm,probability,NA,NA,40,NA,NA,50,60,NA,85,NA,NA,NA,NA
WX18,EPO78795T6C4V4F4M0,severe thunderstorm,chance,NA,10,NA,NA,20,40,NA,NA,NA,NA,NA,NA,NA
WX18,EPO787PDP9WMCLY4M8,severe thunderstorm,probability,NA,NA,10,8,NA,NA,NA,90,NA,NA,NA,NA,NA
WX18,EPO787S889KP3XT4M2,tornado,chance,NA,NA,NA,NA,10,NA,NA,10,NA,NA,NA,NA,NA
WX18,EPO787WGBKXNKW44M2,tornado,probability,5,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA
WX18,EPO7888S68Z3M2Z4M9,tornado,probability,100,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
WX18,EPO7894GZD2PLM54M0,severe thunderstorm,probability,2,NA,NA,NA,10,NA,NA,40,NA,NA,NA,NA,NA
WX18,EPO785JVXDX8VHQ4M0,tornado,chance,NA,5,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA
WX18,EPO785NVNV85RFX4M0,severe thunderstorm,chance,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WX18,EPO788V4QZP58M34M2,severe thunderstorm,probability,15,NA,NA,NA,NA,25,35,NA,60,NA,NA,NA,NA
