age,gend,hisp,race,nws_region,spc_rand,spc_risk_perc,spc_resp_perc,cointoss,bigbucks,acme_pub,choir,fiveside,sixside,mushroom
65,0,0,1,Eastern Region,A MODERATE RISK (LEVEL 4 of 5),80,90,500,1,1,5,30,35,10
32,1,0,2,Eastern Region,A SLIGHT RISK (5% CHANCE),5,5,500,1,5,50,30,60,25
71,0,0,1,Southern Region,AN 15% CHANCE,25,25,50,25,10,25,40,40,50
71,0,1,1,Western Region,AN ENHANCED RISK (LEVEL 3 of 5),100,100,500,10,1,50,5,5,10
23,1,0,2,Eastern Region,A 5% CHANCE,78,45,1,7,6,15,45,45,45
20,0,0,2,Eastern Region,A SLIGHT RISK (LEVEL 2 of 5),70,88,534,568,45,49,8,9,9
73,0,0,1,Central Region,AN 15% CHANCE,25,0,200,10,1,25,10,20,1
72,0,0,1,Eastern Region,A MODERATE RISK (LEVEL 4 of 5),5,5,500,1,100,50,33,20,20
81,0,0,1,Southern Region,A 30% CHANCE,60,100,500,10,1,20,30,36,5
21,1,1,1,Eastern Region,AN ENHANCED RISK,60,60,50,1,0.01,20,25,30,95
25,1,0,1,Western Region,A MODERATE RISK,100,100,500,200,10,20,5,10,45
65,0,0,1,Western Region,A MODERATE RISK (LEVEL 4 of 5),100,100,500,5,20,3,5,50,50
25,0,0,2,Central Region,A LEVEL 4 of 5 RISK,100,100,10,10,10,0,10,8,2
68,0,0,1,Western Region,A 5% CHANCE,20,20,100,1,1,2,5,6,7
20,1,0,1,Southern Region,AN LEVEL 3 of 5 RISK,90,10,30,30,40,100,3,5,60
78,0,0,1,Eastern Region,A SLIGHT RISK (5% CHANCE),15,0,600,101,1,10,35,20,20
19,0,0,2,Southern Region,A 30% CHANCE,7,5,2,5,4,23,6,33,11
67,0,0,1,Eastern Region,A LEVEL 2 of 5 RISK,100,100,600,1,1,10,40,15,20
66,0,0,1,Western Region,A 5% CHANCE,1,1,500,10,1,10,3,10,5
23,0,0,2,Eastern Region,AN LEVEL 3 of 5 RISK,NA,NA,50,100,22,65,43,10,66
22,0,1,2,Southern Region,AN ENHANCED RISK (15% CHANCE),50,50,100,20,20,14,2,3,2
69,1,0,1,Southern Region,A 5% CHANCE,0,0,500,10,0.01,0.02,0.1,0.1,0.2
67,0,0,1,Eastern Region,A LEVEL 2 of 5 RISK,100,100,10,1,1,5,3,25,20
78,0,0,1,Western Region,AN ENHANCED RISK,70,100,500,10,1,25,10,50,20
69,0,0,1,Southern Region,A MODERATE RISK (30% CHANCE),50,100,500,10,1,100,5,6,10
84,0,0,1,Southern Region,AN ENHANCED RISK (LEVEL 3 of 5),90,100,400,5,10,50,3,30,10
67,0,0,1,Eastern Region,AN ENHANCED RISK (LEVEL 3 of 5),95,75,350,35,40,15,22,42,2
74,0,0,1,Eastern Region,A LEVEL 4 of 5 RISK,99,88,50,50,50,50,5,50,5
65,0,0,1,Western Region,AN 15% CHANCE,75,100,50,20,10,20,25,30,20
74,1,1,1,Western Region,A MODERATE RISK (LEVEL 4 of 5),25,25,500,10,0.001,10,30,20,10
75,0,1,1,Central Region,AN LEVEL 3 of 5 RISK,75,50,625,15,3,6,15,25,65
77,0,0,1,Eastern Region,A LEVEL 2 of 5 RISK,50,10,25,5,10,20,3,2,40
24,1,0,2,Western Region,A MODERATE RISK (30% CHANCE),35,9,500,100,0.1,33,30,45,20
67,1,0,1,Central Region,A 5% CHANCE,10,10,500,1,99,20,25,50,20
71,0,0,1,Eastern Region,A MODERATE RISK (30% CHANCE),50,50,30,10,50,60,25,6,30
64,1,0,1,Eastern Region,A SLIGHT RISK (LEVEL 2 of 5),50,50,500,100,10,30,50,70,20
23,0,0,1,Eastern Region,A SLIGHT RISK (LEVEL 2 of 5),50,50,500,100,0.01,0.33,20,40,20
32,1,0,1,Eastern Region,A SLIGHT RISK (5% CHANCE),85,98,650,61,3,1,12,30,43
81,0,0,1,Western Region,A LEVEL 4 of 5 RISK,50,60,500,10,1,5,25,10,75
18,0,0,1,Southern Region,AN ENHANCED RISK (15% CHANCE),5,8,467,100,0.01,10,5,6,25
20,1,0,1,Central Region,AN 15% CHANCE,30,90,500,10,0.1,0.25,25,25,20
18,0,0,4,Western Region,A LEVEL 4 of 5 RISK,70,80,500,10,0.001,25,30,20,4
70,0,0,1,Eastern Region,AN ENHANCED RISK,90,95,700,10,1,20,33,12,35
21,1,1,2,Eastern Region,A 30% CHANCE,4,2,52,145,22,12,42,18,32
67,0,0,1,Eastern Region,A SLIGHT RISK (5% CHANCE),99,99,400,100,10,30,20,10,5
30,1,1,2,Southern Region,A MODERATE RISK (30% CHANCE),78,96,354,1,87,49,39,48,39
70,0,0,1,Western Region,A MODERATE RISK (LEVEL 4 of 5),50,50,500,10,0.01,6,25,5,1
74,0,0,1,Southern Region,A MODERATE RISK (LEVEL 4 of 5),100,0,680,100,100,33,30,10,20
18,0,0,1,Southern Region,A LEVEL 2 of 5 RISK,60,10,60,50,10,30,49,50,40
19,0,0,1,Eastern Region,A 5% CHANCE,20,2,500,10,0.1,25,30,20,50
66,0,0,1,Southern Region,A SLIGHT RISK,100,100,600,100,1,25,3,6,1
70,0,0,1,Eastern Region,A MODERATE RISK (30% CHANCE),30,50,500,20,1,80,50,50,20
67,0,1,1,Eastern Region,A MODERATE RISK (LEVEL 4 of 5),50,50,500,10,0.1,1,30,7,20
69,1,0,1,Eastern Region,A MODERATE RISK (30% CHANCE),30,20,500,10,0.001,30,30,14,20
68,0,0,1,Southern Region,AN ENHANCED RISK (LEVEL 3 of 5),80,75,500,1,1,3,25,20,5
74,0,0,1,Eastern Region,A 30% CHANCE,75,80,500,10,5,100,30,60,1
21,1,1,2,Southern Region,A MODERATE RISK (30% CHANCE),50,50,3,9,1,1,5,7,1
80,0,0,1,Eastern Region,A LEVEL 2 of 5 RISK,100,100,0,10,1,50,25,35,10
25,0,1,4,Eastern Region,AN LEVEL 3 of 5 RISK,70,50,10,409,4,50,12,32,4
18,0,1,1,Western Region,A MODERATE RISK,59,60,500,10,1,10,25,3,10
68,0,0,1,Eastern Region,A SLIGHT RISK (5% CHANCE),10,0,500,10,0.1,30,50,35,75
70,0,0,1,Western Region,AN LEVEL 3 of 5 RISK,50,50,50,5,100,25,20,2,5
70,0,0,1,Eastern Region,A MODERATE RISK,90,100,200,200,20,50,5,6,15
19,1,0,1,Western Region,A MODERATE RISK (30% CHANCE),80,80,50,1,10,25,3,10,4
31,1,0,2,Eastern Region,A 5% CHANCE,63,74,500,100,100,20,15,3,20
20,0,0,5,Southern Region,AN ENHANCED RISK (LEVEL 3 of 5),95,100,500,10,10,10,30,9,10
20,1,1,1,Southern Region,A SLIGHT RISK (LEVEL 2 of 5),38,23,100,70,90,90,7,30,46
18,0,0,2,Eastern Region,A MODERATE RISK (LEVEL 4 of 5),50,50,50,30,20,50,39,68,37
30,0,0,1,Western Region,A MODERATE RISK,20,10,500,100,0.1,10,30,20,25
20,0,0,4,Southern Region,A SLIGHT RISK (LEVEL 2 of 5),30,30,500,1000,1,10,3,12,20
18,0,1,2,Southern Region,A LEVEL 4 of 5 RISK,77,10,500,3,1,47,50,68,13
68,0,0,3,Western Region,A LEVEL 2 of 5 RISK,80,100,550,1,1,5,25,25,5
22,0,1,2,Southern Region,A 30% CHANCE,50,50,576,50,59,47,21,35,35
23,0,0,2,Eastern Region,A SLIGHT RISK (LEVEL 2 of 5),100,100,6,100,100,100,5,7,100
85,1,0,1,Southern Region,A LEVEL 4 of 5 RISK,50,50,500,10,0.001,5,3,70,0
19,0,0,1,Eastern Region,A MODERATE RISK (30% CHANCE),70,100,50,30,40,20,50,40,49
24,0,0,2,Southern Region,A LEVEL 4 of 5 RISK,40,50,100,13,1,90,3,2,20
76,0,0,1,Eastern Region,AN 15% CHANCE,30,50,400,10,1,10,50,20,10
18,1,0,2,Eastern Region,AN ENHANCED RISK,100,100,100,100,100,100,50,50,50
79,1,0,1,Eastern Region,A SLIGHT RISK (5% CHANCE),0,0,500,1000,10,25,33,1,20
70,0,0,1,Central Region,AN 15% CHANCE,10,5,50,10,1,30,25,30,4
74,0,0,1,Central Region,A MODERATE RISK,90,90,500,10,1,30,25,35,2
76,0,0,1,Western Region,A 5% CHANCE,10,10,50,100,1,1,25,35,20
18,1,0,1,Central Region,AN LEVEL 3 of 5 RISK,1,100,500,500,2,21,5,3,2
67,0,0,1,Central Region,A LEVEL 4 of 5 RISK,100,50,50,10,1,40,30,23,5
38,1,1,1,Eastern Region,A LEVEL 2 of 5 RISK,51,60,50,1,1,31,5,11,30
68,0,0,1,Eastern Region,A MODERATE RISK,50,50,500,10,1,20,3,6,4
18,0,1,1,Eastern Region,A SLIGHT RISK,10,20,500,5,1,5,0.6,40,15
18,0,1,2,Eastern Region,A 5% CHANCE,86,45,500,44,56,78,30,42,75
22,0,1,5,Southern Region,A 5% CHANCE,50,50,50,50,50,50,3,50,50
72,0,0,1,Central Region,AN ENHANCED RISK (15% CHANCE),10,0,400,10,10,20,20,35,10
21,0,1,2,Eastern Region,A SLIGHT RISK,NA,NA,100,9,99,60,26,50,2
18,0,0,1,Southern Region,A MODERATE RISK (LEVEL 4 of 5),70,80,500,1,10,30,30,10,12
74,0,0,1,Eastern Region,A MODERATE RISK (30% CHANCE),100,90,50,24,50,60,30,21,20
24,1,1,2,Southern Region,A SLIGHT RISK,6,17,36,628,81,91,6,1,82
21,1,0,2,Southern Region,A 30% CHANCE,100,100,500,10,0.1,25,30,45,0
94,0,0,1,Eastern Region,A LEVEL 2 of 5 RISK,50,50,150,32,10,15,6,10,25
39,0,1,2,Central Region,AN ENHANCED RISK,2,8,3,7,9,34,7,9,3
90,1,0,1,Southern Region,A SLIGHT RISK,50,50,500,10,1,10,25,3,20
73,0,0,1,Western Region,A MODERATE RISK,NA,NA,100,100,27,10,50,11,100
68,0,0,2,Southern Region,A 30% CHANCE,30,30,500,1,1,5,33,14,25
24,0,0,1,Central Region,AN ENHANCED RISK,89,40,700,8,20,30,3,10,50
