p_id,age,gend,hisp,race,state,zip,nws_region,lat,lon,rural,home,follow,warn_hist,rand_morn,rec_morn,und_morn,resp_morn,rand_aft,rec_aft,und_aft,resp_aft,rand_eve,rec_eve,und_eve,resp_eve,wx_info1,wx_info2,wx_info3,wx_info4,wx_info5,wx_info6,wx_info7,wx_info8,income,inc_50,inc_100,inc_150,inc_200,edu
5d12704a-aa1e-29ac-2d22-eebde0cf7c75,18,0,1,7,Georgia,30096,Southern Region,33.93719482,-84.07910156,2,1,4,1,4:00 AM,2,3,3,3:00 PM,4,4,4,12:00 AM (midnight),4,4,4,2,2,4,4,4,2,4,2,1,3,NA,NA,NA,6
oDtnHD95nJjXTM2eyavNBQ**,26,0,0,2,Virginia,23504,Eastern Region,36.88819885,-76.30020142,1,1,5,1,4:00 AM,5,5,5,11:00 AM,5,5,5,7:00 PM,5,5,5,5,3,5,3,5,5,4,4,1,2,NA,NA,NA,1
oDtnHD95nJhOjob9o2UDQA**,53,0,0,1,New Jersey,7514,Eastern Region,39.08279419,-77.16739655,1,3,5,0,7:00 AM,5,5,3,11:00 AM,5,4,4,6:00 PM,5,4,4,4,5,5,3,2,4,5,5,1,4,NA,NA,NA,4
oDtnHD95nJhUIy-c3Crm9g**,61,0,0,4,California,92507,Western Region,33.92489624,-117.459198,1,3,3,0,7:00 AM,2,2,2,12:00 PM (noon),2,2,2,9:00 PM,2,2,2,5,5,5,5,4,5,4,5,1,3,NA,NA,NA,4
oDtnHD95nJjkkp7p4ZtQJg**,57,0,0,1,Georgia,30094,Southern Region,33.61109924,-84.06829834,2,1,4,1,8:00 AM,5,5,5,3:00 PM,5,5,5,6:00 PM,5,5,5,4,4,4,3,3,4,4,4,1,5,NA,NA,NA,4
oDtnHD95nJhlrcI5lEWHlw**,32,0,0,4,Kansas,67550,Central Region,39.23080444,-99.30079651,3,1,5,1,3:00 AM,4,5,5,3:00 PM,5,5,5,10:00 PM,5,5,5,5,4,5,4,5,5,5,4,1,1,NA,NA,NA,4
5d12713a-ad20-7ad8-709d-94ca4ad68550,75,0,0,1,Kentucky,42724,Central Region,38.00759888,-85.69210052,3,1,5,1,1:00 AM,4,4,4,2:00 PM,4,4,4,12:00 AM (midnight),4,4,4,5,4,5,5,2,4,5,5,1,3,NA,NA,NA,2
oDtnHD95nJgz8VJyZ_poPA**,62,0,1,1,Texas,76108,Southern Region,32.7191925,-97.45050049,2,1,4,1,7:00 AM,3,4,3,12:00 PM (noon),4,4,4,9:00 PM,4,4,4,3,4,3,3,4,5,4,5,2,NA,8,NA,NA,6
oDtnHD95nJhnP6m1DiEohA**,32,0,1,5,Texas,79510,Southern Region,32.82670593,-96.96330261,2,1,4,1,6:00 AM,4,3,4,2:00 PM,4,4,4,8:00 PM,4,4,4,4,5,4,3,2,2,4,2,1,2,NA,NA,NA,7
5d1270e2-ad70-69fe-4e63-1bf9c09b3b4f,26,0,1,1,Texas,75228,Southern Region,32.81309509,-96.81410217,1,1,4,1,8:00 AM,3,1,3,3:00 PM,3,1,3,7:00 PM,3,1,3,1,1,5,3,3,5,5,4,1,4,NA,NA,NA,4
5d12721b-f121-0f4c-a232-c1a732537efd,18,1,0,2,California,90210,Western Region,39.7696991,-89.68859863,3,3,2,1,4:00 AM,3,3,1,4:00 PM,2,2,2,9:00 PM,4,4,3,1,1,1,1,1,1,1,1,3,NA,NA,14,NA,5
oDtnHD95nJh0nWCUNhXAAQ**,62,0,1,5,New Mexico,87114,Southern Region,35.1013031,-106.5246964,1,3,4,0,3:00 AM,3,4,3,3:00 PM,3,3,3,9:00 PM,3,3,3,3,3,5,5,1,5,5,3,1,2,NA,NA,NA,2
oDtnHD95nJjFMtIluW4apg**,59,0,1,5,Indiana,46360,Central Region,41.70109558,-86.87200165,3,1,4,1,6:00 AM,2,4,2,11:00 AM,4,4,3,7:00 PM,4,4,3,1,4,4,2,1,4,4,2,1,NA,NA,NA,NA,7
oDtnHD95nJi7JTDV8asj4Q**,36,0,0,4,Oklahoma,74129,Southern Region,36.14990234,-95.79229736,1,3,4,0,7:00 AM,4,5,4,11:00 AM,5,5,4,12:00 AM (midnight),4,5,5,3,5,5,4,4,3,5,4,1,5,NA,NA,NA,7
oDtnHD95nJhSFw4ThoBqhg**,53,0,0,4,Florida,34711,Southern Region,28.55310059,-81.75969696,3,1,2,1,4:00 AM,3,3,3,1:00 PM,5,5,3,12:00 AM (midnight),2,2,2,3,3,4,3,2,3,3,1,2,NA,6,NA,NA,5
oDtnHD95nJiRhnDG6hL_Wg**,61,0,0,2,Indiana,46408,Central Region,41.88250732,-87.71849823,1,1,1,0,7:00 AM,4,4,4,11:00 AM,3,3,3,10:00 PM,3,3,3,5,5,5,5,5,5,5,5,1,1,NA,NA,NA,4
oDtnHD95nJh6LtVyzrQCgw**,32,0,0,2,New York,10462,Eastern Region,40.82460022,-73.81500244,1,1,4,0,1:00 AM,2,2,2,10:00 AM,3,1,5,8:00 PM,3,2,2,2,2,2,2,2,2,2,2,4,NA,NA,NA,20,2
oDtnHD95nJiJEc0patJ4Zg**,63,1,0,4,Texas,75025,Southern Region,33.0809021,-96.72409821,2,1,2,1,9:00 AM,3,3,3,2:00 PM,4,4,3,6:00 PM,4,4,3,2,3,2,3,2,3,3,3,1,1,NA,NA,NA,6
oDtnHD95nJgWPJWPg3sh0A**,45,0,1,2,Nevada,89119,Western Region,36.12199402,-115.0859985,1,3,4,0,5:00 AM,3,3,3,11:00 AM,3,3,3,9:00 PM,3,3,3,3,3,3,3,3,3,3,3,1,3,NA,NA,NA,4
5d127281-2588-7133-868d-313f731f418c,23,0,1,2,Georgia,31768,Southern Region,33.52259827,-86.80329895,1,3,4,0,1:00 AM,3,4,3,1:00 PM,5,4,4,10:00 PM,5,5,5,4,2,5,3,5,3,5,4,3,NA,NA,13,NA,6
oDtnHD95nJjfwxwfrxQEfA**,28,0,1,1,Texas,78413,Southern Region,27.67759705,-97.36509705,1,1,4,0,2:00 AM,3,3,3,12:00 PM (noon),3,3,3,10:00 PM,4,4,4,3,3,3,3,3,3,3,3,1,2,NA,NA,NA,2
