hisp,english,spc_rand,spc_mar,spc_sli,spc_enh,spc_mod,spc_hig,spc_mar_col,spc_sli_col,spc_enh_col,spc_mod_col,spc_hig_col,weight
4,2,A,3,2,5,1,4,4,2,1,5,3,0.547490305
3,3,B,1,2,3,4,5,1,2,3,5,4,0.456392907
1,3,A,1,2,5,4,3,1,2,3,4,5,1.248232066
2,3,B,2,1,3,4,5,3,1,4,5,2,0.439151055
2,2,A,1,2,5,3,4,4,3,2,5,1,0.270260681
2,2,A,1,2,3,5,4,1,3,4,5,2,0.310027991
1,3,B,2,1,3,4,5,1,3,4,5,2,1.123965585
2,2,A,4,1,5,2,3,4,2,5,3,1,0.449733154
1,3,B,2,1,4,3,5,1,2,3,5,4,1.135418565
0,3,B,2,1,3,4,5,1,3,4,5,2,0.125541339
3,2,B,2,1,4,3,5,1,4,2,5,3,0.530756013
1,3,B,1,2,4,3,5,1,4,3,5,2,1.123965585
0,3,A,5,4,1,3,2,5,3,2,1,4,0.428106447
2,3,B,1,2,3,4,5,1,4,3,5,2,0.546308357
1,3,A,2,5,3,1,4,3,4,2,1,5,2.740829557
1,3,B,3,1,2,4,5,2,4,3,5,1,1.603965293
0,3,B,2,1,3,4,5,4,2,3,5,1,0.206802515
1,2,A,1,3,5,4,2,2,4,1,5,3,1.626046511
1,3,B,2,1,3,4,5,2,3,4,5,1,1.123965585
1,2,B,2,1,5,3,4,1,3,5,2,4,1.151049468
1,3,B,4,5,3,2,1,2,5,3,4,1,1.603965293
2,3,B,1,2,3,4,5,1,2,3,4,5,0.266590623
1,3,B,1,2,3,4,5,1,4,2,5,3,6.773813326
3,3,A,2,1,4,3,5,4,2,1,5,3,1.072876915
2,3,A,5,2,3,4,1,1,4,2,5,3,0.909096284
0,3,A,1,4,5,3,2,1,2,3,5,4,0.125541339
1,3,A,1,2,5,3,4,1,4,3,5,2,1.248232066
4,3,A,2,1,4,3,5,1,2,4,5,3,1.3036604
1,2,B,1,2,3,4,5,1,4,2,5,3,1.00068496
4,3,B,3,2,4,5,1,5,3,2,1,4,1.891117323
0,3,B,3,5,4,1,2,2,5,1,4,3,0.295119407
0,3,B,4,5,2,1,3,5,1,4,2,3,0.158323047
3,3,A,1,2,4,3,5,2,1,3,5,4,0.759470528
0,3,B,1,2,3,4,5,1,4,3,5,2,0.138014939
0,3,B,1,2,3,4,5,1,3,4,5,2,0.295119407
2,3,A,1,5,2,3,4,1,2,3,5,4,0.546308357
0,3,A,3,5,4,1,2,5,2,1,4,3,0.295119407
0,3,B,2,1,3,4,5,1,3,4,5,2,0.177347769
1,3,A,2,5,1,3,4,2,5,1,4,3,2.326745946
1,3,B,1,2,3,4,5,1,3,4,5,2,1.43190226
0,3,B,1,3,2,4,5,5,4,3,1,2,0.303048956
1,3,A,2,1,5,3,4,4,2,5,1,3,2.326745946
0,3,A,2,1,5,4,3,2,1,5,3,4,0.428106447
4,3,A,1,2,4,3,5,1,2,3,4,5,0.420280078
1,2,B,1,2,3,4,5,2,3,4,5,1,1.151049468
2,3,A,2,1,5,3,4,1,2,3,5,4,0.546308357
1,3,A,2,1,5,3,4,1,2,3,4,5,2.326745946
1,2,B,1,3,2,4,5,3,1,2,5,4,1.00068496
0,2,A,1,2,5,4,3,1,4,2,5,3,0.125985851
0,3,A,5,4,3,2,1,2,4,5,1,3,0.206802515
1,3,A,1,2,4,3,5,1,3,2,5,4,1.135418565
0,3,A,1,2,5,3,4,1,2,4,5,3,0.20890979
3,3,A,1,5,3,2,4,4,2,3,5,1,1.556337924
4,3,B,3,1,2,4,5,1,2,3,5,4,4.321578144
4,3,B,2,1,3,4,5,1,3,2,5,4,0.69937619
4,2,A,1,3,2,4,5,1,2,3,5,4,0.91106313
2,2,B,4,5,1,2,3,4,2,3,1,5,0.263189066
1,2,A,1,4,5,2,3,1,2,4,5,3,1.320419799
3,3,B,1,2,3,4,5,1,2,3,5,4,0.759470528
2,3,B,2,1,3,4,5,4,1,2,5,3,1.446714246
3,3,B,1,4,2,3,5,3,4,1,5,2,2.476719227
1,3,A,1,4,3,2,5,1,2,4,5,3,1.248232066
1,1,A,2,1,4,3,5,1,2,3,4,5,1.992270386
2,3,A,1,2,4,3,5,4,1,2,5,3,1.446714246
0,3,B,1,5,4,3,2,4,3,2,5,1,0.125541339
4,3,A,1,2,4,3,5,1,2,4,5,3,1.891117323
1,3,A,1,2,5,3,4,1,2,3,4,5,1.248232066
4,3,B,1,3,4,5,2,1,3,4,5,2,1.3036604
1,2,A,1,2,5,3,4,3,1,4,5,2,1.00068496
4,1,A,1,3,4,2,5,2,4,5,1,3,1.3886337
4,2,B,1,2,3,4,5,2,4,3,5,1,0.547490305
2,1,B,1,3,2,4,5,1,2,3,5,4,0.667542791
4,1,B,5,3,4,1,2,4,5,2,1,3,0.83447948
3,2,B,1,2,3,4,5,3,4,1,5,2,0.530756013
1,1,B,4,1,3,5,2,1,2,4,5,3,1.20942577
1,2,A,3,2,4,1,5,3,1,2,5,4,1.320419799
4,2,A,1,2,4,3,5,1,2,4,5,3,1.321607428
4,0,B,3,4,2,1,5,2,3,1,5,4,10.00640967
4,2,B,4,1,5,2,3,4,2,5,3,1,0.562200797
1,3,B,5,2,3,4,1,4,3,2,1,5,0.8604811
1,3,A,4,5,2,1,3,1,5,2,3,4,1.135418565
2,1,A,1,2,4,3,5,1,2,3,5,4,0.472541695
3,1,B,1,2,3,4,5,1,2,3,4,5,0.705206185
1,0,B,3,1,2,4,5,3,4,2,5,1,4.761023281
2,1,B,1,2,3,4,5,1,2,3,4,5,0.472541695
3,1,B,1,2,3,4,5,3,1,2,5,4,0.808973234
0,1,B,1,3,2,4,5,5,2,3,4,1,0.133724192
2,1,B,1,2,3,4,5,1,2,3,4,5,0.581917035
1,3,A,1,2,4,3,5,1,2,3,4,5,2.713182778
1,1,B,3,4,1,2,5,1,3,2,5,4,0.91656773
4,1,A,1,2,5,3,4,1,3,4,5,2,0.744961914
3,3,B,2,1,4,5,3,2,1,3,5,4,0.759470528
1,3,B,2,1,4,5,3,4,2,5,1,3,2.077147675
2,1,B,1,2,4,3,5,3,2,1,5,4,0.667542791
1,3,A,1,4,3,2,5,3,5,2,4,1,1.43190226
1,0,A,1,2,5,3,4,3,2,4,5,1,6.282246317
4,2,A,1,2,4,3,5,1,3,4,5,2,0.293712752
1,1,A,1,3,4,2,5,1,2,3,5,4,2.89002952
1,2,B,1,2,4,3,5,1,3,2,5,4,1.320419799
1,1,B,2,3,4,5,1,5,3,1,2,4,2.212537299
1,1,B,5,3,4,1,2,3,2,1,5,4,2.919478331
4,2,B,5,4,3,2,1,5,3,4,1,2,0.91106313
1,3,A,1,3,4,2,5,3,1,2,5,4,1.647062162
2,2,A,2,4,3,1,5,5,3,2,1,4,0.306900735
4,2,B,5,4,3,2,1,5,4,3,1,2,0.709004253
1,3,B,1,2,3,4,5,1,2,3,5,4,0.8604811
2,0,A,1,2,3,5,4,4,3,1,5,2,1.252191568
4,2,B,2,1,3,4,5,1,2,3,5,4,0.644925421
4,2,A,4,1,5,3,2,2,1,4,5,3,0.91106313
2,3,A,3,1,4,2,5,1,3,2,5,4,0.6266945
1,2,B,3,4,5,2,1,5,4,3,1,2,0.872327037
1,2,B,1,3,2,4,5,3,4,2,5,1,1.30710071
4,3,B,2,1,3,4,5,1,4,5,2,3,0.783415996
1,1,A,1,2,5,4,3,1,2,4,5,3,2.478404523
