age,gend,race,nws_region,follow,torwatch,torwarn,resp_ignore,resp_prot,resp_busy,resp_unsure,cointoss,bigbucks,acme_pub,choir,fiveside,sixside,mushroom,spc_mar,spc_sli,spc_enh,spc_mod,spc_hig,spc_mar_col,spc_sli_col,spc_enh_col,spc_mod_col,spc_hig_col,rq_4,rq_5,rq_6,edu,is_bluedot,time_taken,page_time
42,0,1,Western Region,3,2,NA,3,3,3,4,25,5,46,NA,,NA,NA,4,5,3,1,2,4,2,5,3,1,1,1,2,2,NA,10,15
74,1,1,Southern Region,4,1,NA,2,4,3,4,500,10,0.1,25,,20,NA,5,4,3,2,1,5,3,2,1,4,0,0,0,4,NA,17,46
55,1,1,Southern Region,5,NA,2,2,4,1,2,50,2,1,NA,,NA,NA,1,4,3,2,5,1,2,3,4,5,2,0,NA,7,NA,24,65
27,0,1,Eastern Region,5,1,NA,2,3,5,1,20,1,1,NA,,NA,NA,4,3,5,2,1,4,3,1,5,2,2,1,1,5,NA,13,14
38,0,1,Southern Region,5,2,NA,4,3,4,4,467,200,57,NA,,NA,NA,1,2,4,5,3,3,2,1,5,4,1,1,1,2,NA,12,14
74,0,1,Southern Region,4,1,NA,2,3,2,3,500,10,0.1,25,,20,NA,2,1,3,4,5,1,2,3,4,5,1,1,0,4,1,43,56
60,0,1,Eastern Region,4,2,NA,1,4,1,1,500,10,0.1,25,,20,NA,2,1,4,3,5,1,2,3,5,4,0,1,1,6,1,40,86
63,0,1,Eastern Region,5,1,NA,1,3,1,2,500,10,1,20,25,NA,NA,2,1,4,3,5,1,3,4,5,2,0,1,0,4,NA,74,63
74,1,1,Southern Region,5,NA,2,2,2,3,2,500,10,1,20,5,NA,NA,1,2,5,3,4,1,2,3,5,4,0,0,1,4,NA,31,58
46,0,3,Southern Region,5,2,NA,5,4,3,4,500,10,1,5,4,NA,NA,3,1,4,2,5,3,1,2,5,4,1,0,2,6,NA,23,45
77,0,1,Eastern Region,3,NA,2,3,3,3,2,500,1,1,NA,,NA,NA,4,5,2,3,1,2,3,1,5,4,0,0,0,2,NA,45,58
19,0,2,Southern Region,4,2,NA,1,3,4,4,70,60,40,NA,,NA,NA,1,2,4,5,3,3,1,2,4,5,0,2,0,5,NA,17,11
61,0,2,Southern Region,4,1,NA,2,4,2,2,50,100,60,NA,,NA,NA,4,5,1,3,2,3,2,4,1,5,0,0,0,4,NA,25,72
78,0,4,Central Region,4,1,NA,1,4,2,2,500,10,0.1,10,30,NA,NA,2,1,3,4,5,3,1,2,5,4,0,0,0,6,1,22,35
30,0,2,Western Region,1,2,NA,3,5,2,2,100,100,0,NA,,NA,NA,4,3,5,2,1,5,3,4,1,2,0,1,0,7,NA,10,NA
55,0,2,Central Region,4,1,NA,2,4,2,4,800,100,1,NA,,NA,NA,1,2,4,3,5,1,3,4,5,2,0,1,2,7,NA,130,116
37,0,5,Eastern Region,3,NA,2,3,3,3,4,500,10,10,10,10,NA,NA,2,1,4,3,5,1,2,4,3,5,0,0,0,2,NA,15,31
26,0,1,Central Region,5,1,NA,2,4,3,3,500,10,1,40,40,NA,NA,1,2,4,3,5,1,2,4,5,3,0,0,0,6,NA,31,60
58,1,1,Southern Region,4,NA,1,3,3,3,2,500,1,1,NA,,NA,NA,2,1,4,3,5,1,2,3,5,4,1,1,2,7,NA,25,64
41,0,2,Western Region,4,NA,2,4,3,3,2,1000,10,5,NA,,NA,NA,5,4,3,2,1,3,5,4,1,2,2,0,2,6,NA,23,128
