CWA,zip,p_id,location,state,adults,risk_wind,risk_rain,risk_heat,risk_drought,risk_cold,risk_snow,risk_tor,risk_flood,risk_hur,risk_fire,sample,latitude,longitude,WFO,LON,LAT,CWA_REGION,FullStaId,CityState,City,State,ST,MALE,AGE,AGE_GROUP,HISP,RACE_GROUP,COLD,FIRE,FLOOD,HEAT,HURR,SNOW,TORN,DROUGHT
AKQ,23238,EPO7CB94C3DPB4P4M1,NA,Virginia,1,1,5,3,2,4,4,5,2,4,3,WX,37.733844,-77.888082,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,0,72,3,0,3,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,21842,1386681363,1,Maryland,1,3,3,3,2,2,2,2,4,3,2,WX,38.385457,-75.07153,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,1,61,3,0,1,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23323,EPO792KCT7LWMLY4M4,NA,Virginia,2,5,3,4,1,4,4,4,4,4,2,WX,36.757815,-76.3358,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,0,40,2,0,2,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23323,EPO7D22DT9VJTTJ4M0,NA,Virginia,2,3,4,4,3,4,3,2,5,2,2,WX,36.757815,-76.3358,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,0,50,2,0,2,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23225,1301914368,1,Virginia,1,3,3,3,2,3,3,2,2,2,1,WX,37.51918,-77.49851,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,0,69,3,0,2,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23238,EPO7FSWJJD8K7CY4M3,NA,Virginia,1,5,4,4,4,3,2,2,3,3,2,WX,37.733844,-77.888082,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,1,26,1,0,1,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23451,EPO7FK6GLDKW75S4M7,NA,Virginia,3,4,3,5,3,3,2,2,4,4,2,WX,36.864788,-76.00098,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,1,48,2,0,1,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23451,EPO7F59NFVL5CB24M5,NA,Virginia,2,3,3,3,3,3,3,3,3,3,3,WX,36.864788,-76.00098,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,1,43,2,0,1,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23454,1316803140,1,Virginia,2,2,3,2,3,2,2,2,3,4,2,WX,36.838398,-76.02862,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,1,70,3,0,1,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23434,EPO7D8X5CY3PH554M5,NA,Virginia,5,3,4,2,3,2,5,5,4,5,3,WX,36.735893,-76.59656,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,1,20,1,0,1,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23230,1264782231,1,Virginia,4,4,5,5,3,5,5,5,5,5,3,WX,37.580346,-77.48831,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,1,36,2,0,2,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23518,1239564136,1,Virginia,2,5,5,4,2,1,2,3,5,5,1,WX,36.916497,-76.21796,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,1,72,3,0,1,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23518,EPO78CW9S5662FM4M6,NA,Virginia,4,3,3,3,2,3,2,3,2,2,1,WX,36.916497,-76.21796,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,0,30,1,0,2,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,21851,1131855956,1,Maryland,3,3,3,4,2,4,3,2,3,4,2,WX,38.069322,-75.54811,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,1,52,2,0,2,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23602,1121432228,1,Virginia,2,2,3,3,2,3,3,2,2,3,2,WX,37.115698,-76.5183,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,1,61,3,0,1,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23901,EPO78CNXPQSKXJM4M4,NA,Virginia,2,3,3,3,3,3,2,4,2,1,2,WX,37.307946,-78.40144,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,0,18,1,0,1,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23030,1329572548,1,Virginia,1,3,3,2,1,1,2,2,2,2,3,WX,37.342306,-77.0731,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,0,18,1,0,2,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23084,EPO7FTLGJNLZSFF4M6,NA,Virginia,1,4,3,5,2,2,2,3,3,4,4,WX,37.90198,-78.09647,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,1,43,2,0,1,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23089,1321959720,1,Virginia,2,3,3,4,3,3,2,3,2,3,3,WX,37.435153,-76.90719,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,1,45,2,0,2,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23112,1363312854,1,Virginia,3,3,4,4,3,3,3,3,4,3,4,WX,37.427988,-77.64868,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,0,53,2,0,1,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23113,EPO7FRMGBPBHGH24M5,NA,Virginia,2,3,4,4,4,2,2,3,3,3,2,WX,37.51338,-77.64165,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,1,63,3,0,1,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,23150,1317210595,1,Virginia,2,2,4,2,5,3,4,5,5,4,5,WX,37.517804,-77.28678,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,1,43,2,0,3,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
AKQ,21842,EPO7FSFB934VQ8N4M7,NA,Maryland,1,4,4,4,2,3,3,3,5,4,3,WX,38.385457,-75.07153,AKQ,-77.04384368,37.23561525,ER,KAKQ,Wakefield VA,Wakefield,Virginia,VA,1,60,3,0,1,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
