"p_id","age","age_group","gend","hisp","race","forcast_loc","forcast_time","forcast_prob","forcast_sev","forcast_impact","forcast_safe","five_days","three_days","two_days","one_day","zero_day","income","edu","nws_region","WW"
"3887234",52,4,1,0,1,3,5,6,1,2,4,1,2,3,4,5,4,7,"Eastern Region",42.2058823529412
"62a768e4-6eb0-7188-3c32-46a1bb05dbc1",70,6,1,0,1,6,1,3,2,5,4,2,3,4,3,4,2,4,"Eastern Region",42.2058823529412
"62a91b27-b44e-eb39-b611-1d6e8b8bc4f5",46,4,1,0,1,NA,NA,NA,NA,NA,NA,1,4,5,4,1,2,6,"Eastern Region",42.2058823529412
"62b693c9-a87b-7308-bb29-bddc1cef9a88",40,3,1,0,1,3,1,2,4,5,6,3,4,5,6,2,1,6,"Eastern Region",42.2058823529412
"62a8d03e-5aed-bd6f-a087-a040bfd66452",72,6,0,0,2,1,2,6,3,4,5,4,5,6,3,3,1,6,"Eastern Region",42.2058823529412
"62a8bdbe-4ca6-9798-4131-eaf1958a2911",32,2,0,0,1,NA,NA,NA,NA,NA,NA,1,4,2,3,5,1,2,"Eastern Region",42.2058823529412
"62a8dec6-4277-e4a4-3651-32c8a069f4d1",41,3,1,0,1,NA,NA,NA,NA,NA,NA,1,4,3,5,2,3,7,"Eastern Region",42.2058823529412
"62a76839-1b91-73b7-59a7-de2d405af53b",58,5,1,1,2,4,5,2,1,3,6,2,2,3,3,2,1,4,"Eastern Region",42.2058823529412
"7325599",20,1,0,0,1,3,2,1,4,5,6,3,1,2,4,6,1,5,"Eastern Region",42.2058823529412
"62a8fb16-fa9c-549d-31f5-4a8cd1f53c22",51,4,0,0,1,NA,NA,NA,NA,NA,NA,2,5,4,6,4,1,4,"Eastern Region",42.2058823529412
"62a914c1-835e-dd3d-b777-392eefe6e8c9",19,1,0,0,2,1,2,3,4,6,5,3,3,3,3,5,1,2,"Eastern Region",42.2058823529412
"62a91b2d-68f8-c270-268f-24338c2e4863",60,5,0,0,1,2,3,6,1,5,4,1,5,6,5,4,1,3,"Eastern Region",42.2058823529412
"62a8dd12-0514-382a-d90b-86c8cdd8b06f",66,6,0,0,1,2,4,3,1,6,5,3,2,1,5,4,1,6,"Eastern Region",42.2058823529412
"62a76e4e-19e5-da7c-dfad-3b391f4c84df",54,4,1,0,1,NA,NA,NA,NA,NA,NA,3,4,5,5,6,3,5,"Eastern Region",42.2058823529412
"62a7687d-f03f-b7c2-e6cd-b56d81def977",54,4,0,0,1,3,2,1,6,4,5,4,4,5,5,6,1,2,"Eastern Region",35.2941176470588
"62a8dc79-1745-bfd2-ca96-438a4a71f156",75,6,1,0,1,NA,NA,NA,NA,NA,NA,5,5,5,5,5,1,8,"Eastern Region",42.2058823529412
"7299981",27,2,0,0,1,3,2,4,1,5,6,2,3,4,2,2,2,4,"Eastern Region",42.2058823529412
"62a8dde3-ecbd-3c04-c7e6-c283cb8fde31",66,6,1,0,1,1,2,4,3,5,6,1,3,4,1,2,1,4,"Eastern Region",42.2058823529412
"62a8cdbe-fad3-b2b4-f33d-cff1cf2a3c44",58,5,0,0,1,4,3,2,1,5,6,3,4,1,4,5,1,2,"Eastern Region",16.4705882352941
"62a8e46f-dbdc-bf4c-6105-ca634053bddc",25,2,0,0,1,2,4,3,1,6,5,3,3,4,1,6,2,2,"Eastern Region",16.4705882352941
"7450530",21,1,0,0,1,NA,NA,NA,NA,NA,NA,3,4,5,6,2,4,4,"Eastern Region",NA
"62ab757b-5eaa-1ffc-d8e8-facae0a6e658",45,4,1,1,1,4,3,2,1,5,6,3,4,1,2,5,4,6,"Eastern Region",42.2058823529412
"62a8ef6d-c385-e5a9-63ec-d13e45e92b9a",47,4,0,0,1,NA,NA,NA,NA,NA,NA,2,3,1,4,1,1,2,"Eastern Region",42.2058823529412
"62abf9cd-14fa-7e35-13fe-7c0a55edb977",29,2,1,1,2,6,1,3,2,5,4,1,6,1,1,2,NA,4,"Eastern Region",42.2058823529412
"62a8bcc6-b85a-360f-c36e-c375475eedad",32,2,0,1,1,NA,NA,NA,NA,NA,NA,3,3,2,4,5,2,6,"Eastern Region",42.2058823529412
"62a9284d-bbd2-53f9-b465-e8573edde7aa",50,4,0,0,1,1,4,2,5,6,3,3,3,3,1,4,2,4,"Eastern Region",42.2058823529412
"62a93457-83bd-400e-8aeb-3a5852f30fb4",18,1,0,0,1,NA,NA,NA,NA,NA,NA,6,6,6,6,6,2,2,"Eastern Region",42.2058823529412
"62a8c10c-22a0-8b02-9ffd-33fb4d82eb8f",49,4,1,0,1,1,2,3,6,4,5,5,3,1,6,5,2,6,"Eastern Region",42.2058823529412
"62a8dbb5-d16f-bd15-f561-0db51bf6a437",87,6,1,0,1,1,3,2,4,6,5,1,1,2,4,5,1,4,"Eastern Region",42.2058823529412
"62a8d6e2-fb98-b8b4-9da3-bb52055e3556",62,5,0,0,6,NA,NA,NA,NA,NA,NA,3,3,1,2,4,1,7,"Eastern Region",16.4705882352941
"62a8dd91-f0ff-af73-26df-1581c3e50bcd",48,4,0,1,1,1,4,3,2,5,6,3,3,3,3,1,1,6,"Eastern Region",16.4705882352941
"7265260",22,1,1,0,2,NA,NA,NA,NA,NA,NA,4,3,2,2,2,1,4,"Eastern Region",16.4705882352941
"62a8dafd-b443-1f58-d79b-1dee75791bc5",48,4,0,1,2,NA,NA,NA,NA,NA,NA,3,2,3,4,4,2,4,"Eastern Region",16.4705882352941
"62a8d2ac-6d18-6a9f-7778-f0e9a6e87f35",49,4,0,0,1,4,5,1,3,2,6,3,2,4,1,5,1,5,"Eastern Region",16.4705882352941
"5332908",38,3,1,0,1,1,3,2,5,4,6,1,3,2,6,5,1,6,"Eastern Region",NA
"62a8df12-a388-638d-5dfb-3b2dec262577",65,6,0,0,1,3,1,5,2,4,6,3,3,2,2,1,1,6,"Eastern Region",NA
"7287554",23,1,0,0,2,NA,NA,NA,NA,NA,NA,3,2,4,4,3,1,2,"Eastern Region",16.4705882352941
"62a8bfbe-ce66-28a3-64bc-e0f0581593b6",29,2,0,0,1,2,1,6,3,4,5,6,6,6,6,6,1,5,"Eastern Region",16.4705882352941
"7459033",19,1,1,0,4,3,4,1,5,2,6,3,1,4,5,6,1,2,"Eastern Region",16.4705882352941
"62a8d684-7919-1444-7726-ade962d149c8",70,6,0,0,1,5,1,3,4,2,6,1,2,4,4,5,1,4,"Eastern Region",16.4705882352941
"62a8c224-c15c-474d-63b0-5bbb2f8ada94",19,1,0,0,1,4,1,2,3,6,5,1,1,1,4,4,2,2,"Eastern Region",16.4705882352941
"62a8cf4b-bd18-66f7-5fc4-3ce98f76bb7a",66,6,0,0,1,4,1,3,2,5,6,4,2,5,2,4,1,6,"Eastern Region",16.4705882352941
"62a76cdb-c9fb-77f4-097f-0daf6cf70ab9",58,5,0,0,1,4,1,2,3,5,6,1,3,2,2,4,1,6,"Eastern Region",32.9411764705882
"62a8e654-078d-c65c-d42a-d421201577c6",37,3,0,0,1,1,4,5,3,2,6,2,1,4,5,6,1,2,"Eastern Region",32.9411764705882
"62a8e121-d1da-7a42-a7d2-6a8e764375f6",44,3,0,0,2,NA,NA,NA,NA,NA,NA,4,3,1,2,6,1,2,"Eastern Region",32.9411764705882
"62a76c83-363c-3c44-1b09-c0ba8df6fd47",59,5,0,0,1,1,2,3,4,6,5,1,3,4,2,1,1,4,"Eastern Region",32.9411764705882
"62a76943-5a96-f1ff-f2aa-8d98ff394f8b",57,5,1,0,1,1,2,4,3,6,5,1,3,4,2,6,1,1,"Eastern Region",26.3235294117647
"4063555",33,2,1,0,1,1,2,3,4,5,6,1,3,4,5,6,1,2,"Eastern Region",32.9411764705882
"62a8c7cb-6725-0482-6450-802af45ff755",73,6,0,0,1,4,3,1,2,5,6,5,4,4,1,5,1,5,"Eastern Region",32.9411764705882
"7147181",20,1,0,0,1,NA,NA,NA,NA,NA,NA,3,1,2,4,5,2,2,"Eastern Region",32.9411764705882
"62a76e0d-a1f5-344c-2597-4ede25034e3b",67,6,1,0,1,4,6,5,2,1,3,3,3,3,3,3,1,4,"Eastern Region",42.2058823529412
"2993630",36,3,0,0,1,2,3,1,4,5,6,3,2,4,1,5,1,2,"Eastern Region",32.9411764705882
"62a919b5-8005-96f4-54b4-d5c1daebdf36",52,4,0,0,1,6,1,2,4,3,5,2,4,5,4,6,1,3,"Eastern Region",32.9411764705882
"62a8cc79-aa11-1f62-ffcf-945af3ad974d",78,6,0,0,1,4,1,6,5,2,3,2,1,3,5,6,1,6,"Eastern Region",32.9411764705882
"62a8e0bc-f033-ec48-508d-4e5011d685a2",52,4,0,0,1,2,5,4,1,3,6,4,6,3,2,3,1,2,"Eastern Region",32.9411764705882
"62a76cc0-99e6-627c-42ef-a89b6205bf77",57,5,0,0,1,1,5,4,2,3,6,1,1,1,1,1,1,4,"Eastern Region",32.9411764705882
"62a8dfe6-7529-9f25-c926-c2fa098c4b05",41,3,0,0,1,5,2,1,3,6,4,1,3,4,5,6,2,6,"Eastern Region",32.9411764705882
"6422188",38,3,1,0,1,5,1,6,4,2,3,3,4,2,5,3,1,4,"Eastern Region",32.9411764705882
"62a91f27-c8bc-d617-bf20-7f13d1ff92a4",36,3,0,0,1,2,1,4,5,3,6,4,2,4,2,4,1,2,"Eastern Region",38.2352941176471
"62a8c27c-0f5d-4ea9-2aa4-ed9dc9652c66",45,4,0,0,1,2,5,4,1,3,6,4,4,4,4,4,1,2,"Eastern Region",38.2352941176471
"7459840",26,2,1,0,1,4,5,3,1,2,6,4,1,3,3,2,2,2,"Eastern Region",32.6470588235294
"62a91d81-a819-f759-1b51-8e53e86d98fd",60,5,0,0,1,1,2,4,3,5,6,1,1,3,5,6,1,6,"Eastern Region",32.6470588235294
"4636021",40,3,0,0,1,1,3,5,2,4,6,3,1,5,2,4,2,5,"Eastern Region",32.6470588235294
"62a8c133-b52a-bb5d-21d5-8808bccc8278",55,5,0,0,1,3,1,4,2,5,6,4,1,2,5,5,2,6,"Eastern Region",32.9411764705882
"62a8c725-9371-dcc1-d126-7afe09282d71",67,6,0,0,1,2,4,3,1,5,6,2,2,2,4,5,1,7,"Eastern Region",15.1470588235294
"62a76c0b-f043-b7c5-7823-bb9dc9b3a6d0",64,5,0,0,1,NA,NA,NA,NA,NA,NA,1,2,5,3,4,1,4,"Eastern Region",15.1470588235294
"3703840",53,4,1,0,1,1,2,4,3,5,6,3,1,2,4,4,4,2,"Eastern Region",15.1470588235294
"62a8d4c5-9183-ab91-9199-482c61d1ed53",44,3,0,1,1,1,2,5,3,4,6,3,4,1,2,6,1,1,"Eastern Region",15.1470588235294
"3282504",32,2,1,0,1,1,4,3,2,6,5,1,3,2,4,6,1,5,"Eastern Region",32.9411764705882
"62a8d461-852e-0899-b7e8-bb07240130d5",55,5,0,0,1,NA,NA,NA,NA,NA,NA,2,3,5,6,3,2,5,"Eastern Region",15.1470588235294
"62a8d73a-63fc-8467-bdd9-3639db359c3e",35,3,0,0,1,3,2,4,1,5,6,2,2,2,2,1,1,5,"Eastern Region",32.9411764705882
"2241446",32,2,1,0,1,1,3,2,4,5,6,1,1,1,1,2,2,4,"Eastern Region",32.9411764705882
"7027687",27,2,1,0,2,1,4,2,3,5,6,1,2,4,6,6,1,2,"Eastern Region",32.9411764705882
"62a8bc64-585c-c16c-33f5-accee2df6188",74,6,1,0,1,1,3,2,4,5,6,1,1,4,6,6,1,3,"Eastern Region",15.1470588235294
"62a92fdb-a0dc-b966-20b0-3525dd7ee60f",36,3,0,0,1,3,2,4,1,5,6,5,4,1,2,4,1,4,"Eastern Region",15.1470588235294
"3490815",36,3,1,0,1,1,3,2,4,5,6,1,2,3,4,5,2,6,"Eastern Region",15.1470588235294
