"p_id","age","age_group","gend","hisp","race","forcast_loc","forcast_time","forcast_prob","forcast_sev","forcast_impact","forcast_safe","three_days","one_day","four_hours","sixty_min","fifteen_min","income","edu","nws_region","WX"
"60c36f19-eb97-29cc-e846-62e675be56a6",21,1,1,1,2,5,4,1,2,6,3,6,6,6,6,6,1,1,"Eastern Region",25.8823529411765
"60c0ce4b-7fb3-12e5-0412-adcc61f06e31",54,4,0,0,1,3,2,1,4,5,6,3,1,2,4,5,4,6,"Eastern Region",25.8823529411765
"60c36ddb-4007-c2f3-f838-f986640ea54f",25,2,0,0,1,1,2,3,5,6,4,1,3,2,4,5,2,6,"Eastern Region",25.8823529411765
"60c8dba4-df1b-1796-d9e7-ae3da301de8c",35,3,1,0,1,4,2,1,3,6,5,1,1,3,2,2,4,6,"Eastern Region",25.8823529411765
"60c8da5d-bf07-aa46-e8a5-4873cd1a3585",35,3,1,0,1,3,4,6,2,5,1,5,1,3,4,4,1,7,"Eastern Region",25.8823529411765
"60c7ca25-ae2a-d9eb-1b30-24299439f7ac",34,2,0,0,4,1,2,4,3,6,5,2,2,1,4,4,4,8,"Eastern Region",25.8823529411765
"60c8c8c7-2ff1-4aa8-deff-81f53eeb4ef6",98,6,1,0,1,3,6,2,4,5,1,1,1,1,1,1,4,7,"Eastern Region",25.8823529411765
"60c36bef-e40e-ba35-4b3b-3193d48b903c",50,4,0,1,1,4,5,3,2,1,6,1,1,2,1,1,1,2,"Eastern Region",25.8823529411765
"60ca4dfb-74ef-e3bf-bd67-1617fa5bf8e0",23,1,0,0,1,2,1,3,4,5,6,3,1,2,3,2,1,6,"Eastern Region",25.8823529411765
"60c36ff0-86f2-1e92-854e-ac1e56246553",40,3,0,1,7,NA,NA,NA,NA,NA,NA,2,4,3,2,2,1,2,"Eastern Region",25.8823529411765
"60c0ce9f-b255-fe1d-916e-cb6ad7a2ba7e",73,6,0,0,1,2,4,3,6,5,1,1,5,6,6,6,3,2,"Eastern Region",25.8823529411765
"60c8c3bb-be67-403c-e58d-3a6b5e730c08",55,5,1,0,1,3,4,5,1,2,6,1,4,5,6,5,4,6,"Eastern Region",25.8823529411765
"60c7733e-1aa8-decd-f557-f39328210cc7",34,2,0,0,2,1,3,5,2,4,6,1,4,4,4,4,1,4,"Eastern Region",25.8823529411765
"60c379b2-bbea-9ca6-53a1-a434cc13bd2b",57,5,0,1,1,4,2,1,3,5,6,3,1,4,6,5,1,5,"Eastern Region",25.8823529411765
"60c23bc3-2de7-fe24-cf8a-148b32f6ee00",23,1,0,1,2,NA,NA,NA,NA,NA,NA,3,3,4,4,1,1,2,"Eastern Region",25.8823529411765
"60c771b8-09b3-55fc-ffaa-f6baf6bb2250",41,3,0,0,2,5,1,2,3,6,4,1,3,4,6,5,1,1,"Eastern Region",25.8823529411765
"60c21de3-1183-e85a-46de-f96e15f2adf1",31,2,0,1,1,NA,NA,NA,NA,NA,NA,4,3,3,3,4,2,4,"Eastern Region",25.8823529411765
"60c369db-f8b5-5d28-8050-9b3d1a08dcbc",26,2,0,1,2,5,4,6,3,1,2,4,2,3,3,3,1,2,"Eastern Region",25.8823529411765
"60c4a78e-4b02-7d11-ba6e-a7f410cbf445",62,5,1,0,2,NA,NA,NA,NA,NA,NA,1,2,3,4,5,1,2,"Eastern Region",25.8823529411765
"60c8c186-7848-ade7-24ed-f82f29ee3199",78,6,1,0,1,1,2,6,3,4,5,1,2,3,2,4,1,2,"Eastern Region",25.8823529411765
"60c37b92-8569-6235-55ff-026a64e94e1c",63,5,0,1,1,1,3,2,4,5,6,1,2,4,6,5,1,4,"Eastern Region",25.8823529411765
"60c76bc8-d4ef-750e-2afb-28dce48c0747",51,4,1,0,2,3,1,6,4,2,5,3,4,5,6,6,1,6,"Eastern Region",25.8823529411765
"60c191c4-d31e-540e-4c4e-d85110073381",36,3,0,0,1,1,6,3,4,2,5,4,3,3,1,5,3,6,"Eastern Region",25.8823529411765
"60c5e3a7-6cc0-86db-45c0-12b19f030b5b",21,1,0,0,2,2,1,5,3,4,6,3,4,5,4,6,1,2,"Eastern Region",25.8823529411765
"60c78a3d-ca4e-7c96-446d-93140b30d34e",34,2,1,0,2,1,6,5,4,3,2,2,1,3,4,2,2,6,"Eastern Region",25.8823529411765
"60c36a14-2ad7-c8b9-7d50-ce8c4b3b780b",62,5,0,1,1,4,3,1,2,6,5,2,3,4,5,6,1,2,"Eastern Region",NA
"60c83c82-9b29-9ad8-3c69-79411f995d4e",28,2,0,0,4,NA,NA,NA,NA,NA,NA,1,1,4,5,5,2,6,"Eastern Region",25.8823529411765
"60ca3f13-211b-d2b6-3c81-3ffd1bbede8a",30,2,0,0,1,2,1,6,4,3,5,6,4,2,1,1,4,8,"Eastern Region",25.8823529411765
"60c7ceaf-62b2-491f-68d0-10ca5c3d2457",60,5,0,0,2,4,1,2,3,5,6,1,2,4,5,6,2,5,"Eastern Region",25.8823529411765
"60ca371c-90a5-8fd8-cd36-51e5d4d6e70c",28,2,0,0,1,1,3,2,5,4,6,1,2,3,4,6,2,6,"Eastern Region",25.8823529411765
"60c0cdd7-9036-195a-21f9-022c90b6c75d",68,6,0,0,1,3,2,1,5,4,6,4,2,5,1,3,2,2,"Eastern Region",25.8823529411765
"60c226fb-aae6-9e2b-06b3-9c0afb6d61e3",50,4,0,1,4,NA,NA,NA,NA,NA,NA,1,5,4,5,6,2,8,"Eastern Region",25.8823529411765
"60c7ba99-9032-cbe0-dcb4-8c2f20ceee3e",50,4,1,0,4,4,1,6,2,3,5,2,4,6,4,4,2,6,"Eastern Region",25.8823529411765
"60c36f33-de34-dec7-4f65-9f839826b274",24,1,1,1,2,1,4,5,6,2,3,4,3,3,3,4,2,6,"Eastern Region",25.8823529411765
"60c79bdd-d8de-8444-9770-f2c1f95963ce",33,2,1,0,2,4,3,2,6,1,5,3,3,5,2,2,1,2,"Eastern Region",25.8823529411765
"60c4f1ef-89d1-dd04-a1c1-6bab67454e5e",52,4,0,1,1,2,1,5,6,3,4,2,1,5,4,6,1,6,"Eastern Region",25.8823529411765
"60c3ea26-e615-3324-22e8-b7cffdf320f9",59,5,0,1,2,2,3,6,5,4,1,3,3,1,1,1,1,6,"Eastern Region",25.8823529411765
"60c7a38b-13ad-c91b-77c5-a6d5fa2c7065",28,2,1,0,2,1,3,2,4,5,6,2,1,6,6,6,2,2,"Eastern Region",25.8823529411765
"60c7e224-03fb-8d0c-771f-29e938845bbd",43,3,0,0,4,3,2,5,1,4,6,1,3,2,5,6,3,7,"Eastern Region",25.8823529411765
