"p_id","age","age_group","gend","hisp","race","forcast_loc","forcast_time","forcast_prob","forcast_sev","forcast_impact","forcast_safe","five_days","three_days","two_days","one_day","income","edu","nws_region","TC"
"60d3bf8b-cc0a-66fb-b965-098067877927",35,3,0,0,2,2,1,3,5,6,4,3,2,4,6,2,6,"Eastern Region",2.05882352941176
"60d9fef9-3126-4ab1-7ca3-4abb4acca7a8",59,5,1,0,1,2,3,1,5,4,6,3,2,2,1,2,7,"Eastern Region",2.05882352941176
"60d20f1e-64c9-3031-f232-81cb869f9afd",69,6,0,0,1,NA,NA,NA,NA,NA,NA,1,2,4,6,2,7,"Eastern Region",2.05882352941176
"60d9f00c-7329-863e-0cf6-a444e3ff8b1b",38,3,1,0,1,2,1,3,4,5,6,3,3,3,2,1,5,"Eastern Region",2.05882352941176
"60d9ee62-6230-e383-c6c5-0d64c5a13733",50,4,1,0,1,1,3,5,4,2,6,2,3,1,5,3,7,"Eastern Region",2.05882352941176
"60d50c29-968d-5fdc-86ba-dd27789ee519",38,3,0,0,4,4,6,5,2,3,1,5,2,6,2,1,4,"Eastern Region",2.05882352941176
"60d349b3-140a-8c2b-2891-1b4acdf8719a",21,1,0,1,1,NA,NA,NA,NA,NA,NA,4,6,5,1,2,5,"Eastern Region",2.05882352941176
"60d9e210-f05e-01c5-d06b-d57b60df1b2e",75,6,1,0,1,3,2,1,4,5,6,3,1,4,5,4,6,"Eastern Region",2.05882352941176
"60d395ad-efa1-13e9-8070-c8eb265917ff",28,2,1,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,3,6,"Eastern Region",2.05882352941176
"60d5d638-548b-1c9a-032f-c70ec8e2cc1d",62,5,1,0,4,2,3,1,4,5,6,2,6,5,6,3,6,"Eastern Region",2.05882352941176
"60d9f0c5-dab3-181a-ed24-96cbab708491",46,4,0,0,1,NA,NA,NA,NA,NA,NA,2,1,1,2,4,6,"Eastern Region",2.05882352941176
"60d5e94f-8710-f9d5-11b0-2b061b164a40",36,3,0,0,2,NA,NA,NA,NA,NA,NA,1,2,2,1,1,2,"Eastern Region",2.05882352941176
"60d2b5a9-0907-fbe5-1606-99e5b44e36c0",20,1,0,1,2,4,1,3,2,6,5,1,3,6,3,3,4,"Eastern Region",2.05882352941176
"60d5ebc9-2cf5-6a07-c817-7e32cc568c04",24,1,1,0,4,2,3,4,1,5,6,4,3,1,6,1,6,"Eastern Region",NA
"60d208b0-02cb-7210-fe14-59b9426a3c88",38,3,0,0,1,NA,NA,NA,NA,NA,NA,1,4,6,2,1,2,"Eastern Region",2.05882352941176
"60d3b442-8eb1-ad42-7201-5f19d75ae993",41,3,1,1,6,1,6,4,2,3,5,4,1,2,5,2,3,"Eastern Region",2.05882352941176
"60d9f5c0-261c-2b5b-4d91-60052eaa2cd0",68,6,1,0,1,1,4,2,3,5,6,2,3,4,5,2,7,"Eastern Region",2.05882352941176
"60d3a604-9835-a7bd-d57b-3cb7fddf7443",20,1,1,1,1,NA,NA,NA,NA,NA,NA,4,1,4,4,4,7,"Eastern Region",NA
"60d9f02f-d2d6-10de-51c5-df9005189722",40,3,1,0,1,3,6,5,2,4,1,1,2,3,4,4,7,"Eastern Region",NA
"60d20d07-7db6-c63a-ff73-5f05f6538245",46,4,0,0,1,NA,NA,NA,NA,NA,NA,3,4,1,2,3,5,"Eastern Region",2.05882352941176
"60d9f7e8-4f9e-1156-5634-6a3ef4d40bb9",76,6,1,0,1,NA,NA,NA,NA,NA,NA,5,1,4,6,1,3,"Eastern Region",2.05882352941176
"60d9ecd1-0a9d-5bd3-1f72-815164496836",58,5,1,0,1,3,4,5,6,2,1,3,2,2,5,1,4,"Eastern Region",2.05882352941176
"60d9ef39-def8-e35a-b986-969115f54218",51,4,1,0,1,2,3,6,4,5,1,1,2,3,4,2,7,"Eastern Region",2.05882352941176
"60d76e91-8b13-bdb2-5a5d-f78196314923",35,3,0,0,1,NA,NA,NA,NA,NA,NA,5,4,4,4,1,4,"Eastern Region",2.05882352941176
"60d3ab78-a8f8-7d0a-e5a9-f6987b470cea",56,5,0,1,7,NA,NA,NA,NA,NA,NA,3,3,3,3,1,1,"Eastern Region",2.05882352941176
"60d35312-e293-fdd9-3395-db2449ab249d",50,4,0,1,4,NA,NA,NA,NA,NA,NA,1,2,4,6,2,8,"Eastern Region",2.05882352941176
"60d9ede3-f8f2-e8fa-d30d-3ff5c6e887fd",33,2,1,0,1,NA,NA,NA,NA,NA,NA,4,3,2,1,3,7,"Eastern Region",2.05882352941176
"60d54c1d-b71b-b591-90ba-65067c0fd84e",62,5,1,0,4,5,4,6,2,3,1,6,6,6,6,1,2,"Eastern Region",2.05882352941176
"60d4cf5a-22f3-5792-c42a-9f17c1c6af4b",65,6,1,0,4,1,3,6,2,4,5,1,1,1,1,1,6,"Eastern Region",2.05882352941176
"60d3ab11-95ce-d1b0-ec95-42ddf3a7aba1",70,6,1,1,1,1,3,2,4,5,6,4,4,1,5,1,6,"Eastern Region",2.05882352941176
"60d27c4a-b569-66e1-530e-0ac0770bce69",45,4,1,1,7,4,2,1,6,5,3,6,4,2,1,3,5,"Eastern Region",2.05882352941176
"60d3ddad-c337-a978-5445-54cb99b4ed02",30,2,0,0,2,5,1,6,2,3,4,4,4,4,4,3,6,"Eastern Region",2.05882352941176
"60d4cb7b-14e6-d66f-6f0d-b15b7ac8a32d",21,1,1,1,2,1,2,3,4,5,6,1,2,2,2,NA,3,"Eastern Region",2.05882352941176
"60d9f85d-9819-5dfb-875c-a03fc22c95ac",40,3,1,0,1,NA,NA,NA,NA,NA,NA,1,4,6,2,4,7,"Eastern Region",2.05882352941176
"60d9ef91-a65e-965a-7c49-b025a58d2952",36,3,1,0,1,NA,NA,NA,NA,NA,NA,4,2,3,1,3,7,"Eastern Region",2.05882352941176
"60d5e930-d27d-8f06-1f0e-f508659e054a",37,3,1,0,2,2,3,6,1,4,5,6,2,4,5,2,4,"Eastern Region",2.05882352941176
"60d29f29-21bf-2eef-dc94-cf917fa2de87",41,3,0,1,7,NA,NA,NA,NA,NA,NA,4,3,2,1,1,4,"Eastern Region",2.05882352941176
"60d49b95-6548-214f-cfa2-682eaf36b3cd",37,3,0,0,2,NA,NA,NA,NA,NA,NA,1,2,3,2,4,6,"Eastern Region",2.05882352941176
"60d3e940-a7d1-8077-2e45-1f6325140c3b",23,1,0,1,1,1,2,5,3,6,4,1,2,6,5,2,6,"Eastern Region",2.05882352941176
"60db42ca-58d9-528c-600a-33dcad9ffcdf",57,5,0,0,1,2,1,4,3,5,6,1,2,4,6,3,2,"Eastern Region",2.05882352941176
"60d9f1f6-245f-7d9f-0754-1d8518989544",50,4,1,0,1,2,4,5,3,6,1,2,3,1,6,1,2,"Eastern Region",2.05882352941176
"60d9e3d5-c407-a349-ecc2-6555b80f6214",66,6,1,0,1,3,2,1,4,5,6,2,3,1,4,1,6,"Eastern Region",2.05882352941176
