torwatch,torwarn,weightfactor,lang
2,NA,0.612277,English
1,NA,1.657257,English
1,NA,0.726937,English
NA,2,0.763914,English
1,NA,0.763914,English
1,NA,0.481,English
NA,2,1.930509,English
2,NA,0.856761,English
NA,2,0.63786,English
NA,1,0.940128,English
NA,2,0.885432,English
NA,2,0.672302,English
NA,2,0.481,English
NA,2,1.101848,English
NA,2,0.885432,English
NA,2,0.885432,English
1,NA,0.672302,English
NA,1,0.38886,English
2,NA,0.63786,English
2,NA,0.763914,English
NA,1,1.956889,English
NA,2,0.648168,English
2,NA,1.409547,English
NA,2,0.672302,English
NA,2,1.657257,English
NA,2,0.648168,English
NA,2,0.841543,English
1,NA,0.672302,English
NA,1,0.606347,English
NA,1,0.743294,English
NA,3,0.804612,English
1,NA,0.885432,English
1,NA,0.648168,English
3,NA,0.481,English
1,NA,0.612277,English
NA,1,0.611835,English
NA,1,0.743294,English
NA,1,0.672302,English
NA,2,0.635616,English
1,NA,0.743294,English
NA,2,0.606347,English
NA,1,0.38886,English
NA,1,0.38886,English
NA,2,0.38886,English
1,NA,0.648168,English
NA,1,1.565939,English
1,NA,0.743294,English
